Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,
Odour1.1,0,0,0,,,,
Odour1.2,0,0,0,,,,"Did not interact with 1.1, sniffs from cage corner, and with 1.2, sniffs hopper between 1.1 and 1.2, ignored 3.2 and 3.3, 3.3 - sniffs from the cage corner"
Odour1.3,12,17.5,525.8,,,,
Eexample,0,0,0,,,,
Fexample,0,0,0,,,,
Gexample,0,0,0,,,,
Hexample,0,0,0,,,,
Iexample,0,0,0,,,,
Odour2.1,6,18.8,745.7,,,,
Odour2.2,4,4.4,978,,,,
Odour2.3,2,1.1,1219.9,,,,
Mexample,0,0,0,,,,
Nexample,0,0,0,,,,
Oexample,0,0,0,,,,
Pexample,0,0,0,,,,
Qexample,0,0,0,,,,
Odour3.1,4,4.7,1318.1,,,,
Odour3.2,0,0,0,,,,
Odour3.3,0,0,0,,,,
Bexample,0,0,0,,,,
Cexample,0,0,0,,,,
Uexample,0,0,0,,,,
Vexample,0,0,0,,,,
Wexample,0,0,0,,,,
Xexample,0,0,0,,,,
Zexample,0,0,0,,,,
Change,0,0,0,,,,
Codes,0,0,0,,,,
in,0,0,0,,,,
Configfile,0,0,0,,,,
