Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,
Odour1.1,23,39.3,137.8,,,,
Odour1.2,17,50.1,349.6,,,,
Odour1.3,9,62.4,581.4,,,,1 - reaches out and plays with the bud
Eexample,0,0,0,,,,"2.1 - pulls the bud through, not counted/ bud touches the hopper - contamination?"
Fexample,0,0,0,,,,770-815 - plays with the bud
Gexample,0,0,0,,,,3.3 - 1902 - mouse puled the bud through - not counted
Hexample,0,0,0,,,,
Iexample,0,0,0,,,,
Odour2.1,19,24.6,761.8,,,,
Odour2.2,17,20,993.8,,,,
Odour2.3,10,19.4,1175,,,,
Mexample,0,0,0,,,,
Nexample,0,0,0,,,,
Oexample,0,0,0,,,,
Pexample,0,0,0,,,,
Qexample,0,0,0,,,,
Odour3.1,16,42.8,1420.9,,,,
Odour3.2,15,62.1,1611.4,,,,
Odour3.3,17,18.8,1786.9,,,,
Bexample,0,0,0,,,,
Cexample,0,0,0,,,,
Uexample,0,0,0,,,,
Vexample,0,0,0,,,,
Wexample,0,0,0,,,,
Xexample,0,0,0,,,,
Zexample,0,0,0,,,,
Change,0,0,0,,,,
Codes,0,0,0,,,,
in,0,0,0,,,,
Configfile,0,0,0,,,,
