Odour_presentation,Duration_sniffing,Source,Odour_type_presentation,Video_id,Genotype,Sex,Age,Filtered,Status
Odour3.1,27.5,Manual,Familiar1,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour3.2,4.2,Manual,Familiar2,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour3.3,4.1,Manual,Familiar3,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour1.1,28.5,Manual,Novel1,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour1.2,11.5,Manual,Novel2,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour1.3,3.6,Manual,Novel3,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour2.1,14.3,Manual,Water1,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour2.2,1.4,Manual,Water2,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour2.3,0,Manual,Water3,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour3.1,14.2,Manual,Familiar1,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour3.2,0,Manual,Familiar2,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour3.3,0,Manual,Familiar3,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour1.1,43.6,Manual,Novel1,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,1
Odour1.2,38.7,Manual,Novel2,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,1
Odour1.3,0,Manual,Novel3,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,1
Odour2.1,0,Manual,Familiar1,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,0
Odour2.2,0,Manual,Familiar2,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,0
Odour2.3,0,Manual,Familiar3,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,0
Odour3.1,12.2,Manual,Water1,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,1
Odour3.2,13.1,Manual,Water2,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,1
Odour3.3,13.9,Manual,Water3,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,1
Odour1.1,20.8,Manual,Water1,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour1.2,22.1,Manual,Water2,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour1.3,11.6,Manual,Water3,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour2.1,21.4,Manual,Familiar1,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour2.2,11.1,Manual,Familiar2,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour2.3,8.1,Manual,Familiar3,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour3.1,25.8,Manual,Novel1,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour3.2,9.5,Manual,Novel2,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour3.3,0,Manual,Novel3,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour1.1,20.2,Manual,Water1,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour1.2,14.9,Manual,Water2,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour1.3,3.1,Manual,Water3,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour2.1,26.4,Manual,Familiar1,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour2.2,19.2,Manual,Familiar2,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour2.3,19.2,Manual,Familiar3,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour3.1,30.9,Manual,Novel1,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour3.2,10.5,Manual,Novel2,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour3.3,0,Manual,Novel3,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour1.1,53.2,Manual,Novel1,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour1.2,26.1,Manual,Novel2,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour1.3,36,Manual,Novel3,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour2.1,38.5,Manual,Water1,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour2.2,12.3,Manual,Water2,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour2.3,12.8,Manual,Water3,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour3.1,11.6,Manual,Familiar1,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour3.2,10,Manual,Familiar2,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour3.3,10.9,Manual,Familiar3,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour1.1,27.7,Manual,Novel1,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour1.2,14.3,Manual,Novel2,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour1.3,4.2,Manual,Novel3,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour2.1,45.5,Manual,Water1,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour2.2,19.9,Manual,Water2,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour2.3,40.9,Manual,Water3,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour3.1,23.5,Manual,Familiar1,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour3.2,27.4,Manual,Familiar2,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour3.3,15.9,Manual,Familiar3,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour1.1,0,Manual,Familiar1,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour1.2,0,Manual,Familiar2,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour1.3,17.5,Manual,Familiar3,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour2.1,18.8,Manual,Novel1,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,1
Odour2.2,4.4,Manual,Novel2,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,1
Odour2.3,1.1,Manual,Novel3,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,1
Odour3.1,4.7,Manual,Water1,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour3.2,0,Manual,Water2,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour3.3,0,Manual,Water3,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour1.1,29.4,Manual,Familiar1,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,1
Odour1.2,4.2,Manual,Familiar2,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,1
Odour1.3,4.7,Manual,Familiar3,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,1
Odour2.1,5.8,Manual,Novel1,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour2.2,13,Manual,Novel2,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour2.3,0,Manual,Novel3,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour3.1,9,Manual,Water1,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour3.2,0,Manual,Water2,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour3.3,0,Manual,Water3,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour1.1,28.8,Manual,Familiar1,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour1.2,28.6,Manual,Familiar2,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour1.3,10.2,Manual,Familiar3,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour2.1,18.8,Manual,Novel1,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour2.2,26.6,Manual,Novel2,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour2.3,16,Manual,Novel3,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour3.1,16.7,Manual,Water1,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour3.2,0,Manual,Water2,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour3.3,0.8,Manual,Water3,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour1.1,33.4,Manual,Novel1,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour1.2,8.6,Manual,Novel2,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour1.3,3.3,Manual,Novel3,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour2.1,3.7,Manual,Familiar1,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,0
Odour2.2,0,Manual,Familiar2,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,0
Odour2.3,0,Manual,Familiar3,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,0
Odour3.1,17.5,Manual,Water1,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour3.2,0,Manual,Water2,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour3.3,0,Manual,Water3,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour1.1,26.3,Manual,Novel1,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour1.2,3.8,Manual,Novel2,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour1.3,7.2,Manual,Novel3,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour2.1,7.2,Manual,Familiar1,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,0
Odour2.2,5.2,Manual,Familiar2,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,0
Odour2.3,0.6,Manual,Familiar3,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,0
Odour3.1,19.1,Manual,Water1,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour3.2,3.7,Manual,Water2,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour3.3,0.5,Manual,Water3,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour1.1,20.4,Manual,Novel1,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour1.2,35.1,Manual,Novel2,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour1.3,14.9,Manual,Novel3,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour2.1,14.2,Manual,Familiar1,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour2.2,14.5,Manual,Familiar2,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour2.3,10.1,Manual,Familiar3,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour3.1,13.8,Manual,Water1,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour3.2,2.8,Manual,Water2,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour3.3,3.8,Manual,Water3,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour1.1,6.7,Manual,Water1,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour1.2,0,Manual,Water2,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour1.3,0,Manual,Water3,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour2.1,38.1,Manual,Familiar1,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,1
Odour2.2,0.2,Manual,Familiar2,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,1
Odour2.3,18,Manual,Familiar3,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,1
Odour3.1,0,Manual,Novel1,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour3.2,10.5,Manual,Novel2,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour3.3,15.5,Manual,Novel3,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
