Odour_presentation,Duration_sniffing,Source,Odour_type_presentation,Video_id,Genotype,Sex,Age,Filtered,Status
Odour2.2,13.2,ML,Familiar2,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour2.3,7.08,ML,Familiar3,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour3.1,20,ML,Novel1,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour3.2,15.12,ML,Novel2,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour3.3,11.88,ML,Novel3,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour1.1,31.96,ML,Water1,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour1.2,5.4,ML,Water2,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour1.3,15.44,ML,Water3,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour2.1,33.48,ML,Familiar1,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour2.2,28.68,ML,Familiar2,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour2.3,30.28,ML,Familiar3,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour3.1,27.92,ML,Novel1,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour3.2,19.4,ML,Novel2,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour3.3,24.44,ML,Novel3,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour1.1,13.92,ML,Water1,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour1.2,0,ML,Water2,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour1.3,3.92,ML,Water3,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour2.1,31.48,ML,Familiar1,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour2.2,33.96,ML,Familiar2,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour2.3,6.68,ML,Familiar3,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour3.1,6.2,ML,Novel1,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,0
Odour3.2,20.8,ML,Novel2,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,0
Odour3.3,27.56,ML,Novel3,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,0
Odour1.1,18.12,ML,Familiar1,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour1.2,14.92,ML,Familiar2,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour1.3,1.6,ML,Familiar3,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour2.1,29.52,ML,Novel1,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour2.2,17.6,ML,Novel2,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour2.3,16.16,ML,Novel3,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour3.1,11.16,ML,Water1,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour3.2,2.04,ML,Water2,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour3.3,0,ML,Water3,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour1.1,16.6,ML,Novel1,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour1.2,10.88,ML,Novel2,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour1.3,5.52,ML,Novel3,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour2.1,43.36,ML,Familiar1,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour2.2,15.04,ML,Familiar2,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour2.3,8.8,ML,Familiar3,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour3.1,10.96,ML,Water1,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour3.2,11.2,ML,Water2,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour3.3,4.24,ML,Water3,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour1.1,18.72,ML,Novel1,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour1.2,24.08,ML,Novel2,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour1.3,20.6,ML,Novel3,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour2.1,19.08,ML,Familiar1,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour2.2,5.84,ML,Familiar2,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour2.3,3.04,ML,Familiar3,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour3.1,24.24,ML,Water1,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour3.2,15.04,ML,Water2,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour3.3,8.4,ML,Water3,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour1.1,16.44,ML,Familiar1,1640089388806_000000_20211221FNWC9ORF32e,2,Male,15,No,1
Odour1.2,18.44,ML,Familiar2,1640089388806_000000_20211221FNWC9ORF32e,2,Male,15,No,1
Odour1.3,12.88,ML,Familiar3,1640089388806_000000_20211221FNWC9ORF32e,2,Male,15,No,1
Odour2.1,20.08,ML,Novel1,1640089388806_000000_20211221FNWC9ORF32e,2,Male,15,No,1
Odour2.2,8.24,ML,Novel2,1640089388806_000000_20211221FNWC9ORF32e,2,Male,15,No,1
Odour2.3,1.8,ML,Novel3,1640089388806_000000_20211221FNWC9ORF32e,2,Male,15,No,1
Odour3.1,13.44,ML,Water1,1640089388806_000000_20211221FNWC9ORF32e,2,Male,15,No,1
Odour3.2,0,ML,Water2,1640089388806_000000_20211221FNWC9ORF32e,2,Male,15,No,1
Odour3.3,0,ML,Water3,1640089388806_000000_20211221FNWC9ORF32e,2,Male,15,No,1
Odour1.1,20.04,ML,Novel1,1640168578369_000000_20211222NWFC9ORF31C,4,Female,15,No,1
Odour1.2,3.84,ML,Novel2,1640168578369_000000_20211222NWFC9ORF31C,4,Female,15,No,1
Odour1.3,0,ML,Novel3,1640168578369_000000_20211222NWFC9ORF31C,4,Female,15,No,1
Odour2.1,0,ML,Water1,1640168578369_000000_20211222NWFC9ORF31C,4,Female,15,No,0
Odour2.2,13.48,ML,Water2,1640168578369_000000_20211222NWFC9ORF31C,4,Female,15,No,0
Odour2.3,0,ML,Water3,1640168578369_000000_20211222NWFC9ORF31C,4,Female,15,No,0
Odour3.1,6.76,ML,Familiar1,1640168578369_000000_20211222NWFC9ORF31C,4,Female,15,No,0
Odour3.2,4.08,ML,Familiar2,1640168578369_000000_20211222NWFC9ORF31C,4,Female,15,No,0
Odour3.3,0,ML,Familiar3,1640168578369_000000_20211222NWFC9ORF31C,4,Female,15,No,0
Odour1.1,27.72,ML,Novel1,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour1.2,15.28,ML,Novel2,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour1.3,29.2,ML,Novel3,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour2.1,15.28,ML,Water1,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour2.2,7.04,ML,Water2,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour2.3,1.12,ML,Water3,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour3.1,29.4,ML,Familiar1,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour3.2,5.24,ML,Familiar2,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour3.3,6.56,ML,Familiar3,1640170700852_000000_20211222NWFC9ORF31D,2,Female,15,No,1
Odour1.1,32.92,ML,Novel1,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour1.2,12.08,ML,Novel2,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour1.3,7.68,ML,Novel3,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour2.1,14.96,ML,Water1,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour2.2,1.56,ML,Water2,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour2.3,0,ML,Water3,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour3.1,17.36,ML,Familiar1,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour3.2,0,ML,Familiar2,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour3.3,0,ML,Familiar3,1640170756532_000000_20211222NWFC9ORF42A,2,Female,15,No,1
Odour1.1,45.84,ML,Novel1,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,1
Odour1.2,35.92,ML,Novel2,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,1
Odour1.3,0,ML,Novel3,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,1
Odour2.1,0,ML,Familiar1,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,0
Odour2.2,0,ML,Familiar2,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,0
Odour2.3,0,ML,Familiar3,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,0
Odour3.1,9,ML,Water1,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,0
Odour3.2,8.76,ML,Water2,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,0
Odour3.3,13.52,ML,Water3,1640176217569_000000_20211222NFWC9ORF14E,2,Male,15,No,0
Odour1.1,23.28,ML,Water1,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour1.2,22.52,ML,Water2,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour1.3,10.8,ML,Water3,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour2.1,24.76,ML,Familiar1,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour2.2,10.6,ML,Familiar2,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour2.3,6.84,ML,Familiar3,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour3.1,27.2,ML,Novel1,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour3.2,10.12,ML,Novel2,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour3.3,0,ML,Novel3,1640178362672_000000_20211222WFNC9ORF32D,4,Male,15,No,1
Odour1.1,4.36,ML,Water1,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,0
Odour1.2,4.24,ML,Water2,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,0
Odour1.3,0,ML,Water3,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,0
Odour2.1,5.88,ML,Familiar1,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,0
Odour2.2,19.64,ML,Familiar2,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,0
Odour2.3,16.88,ML,Familiar3,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,0
Odour3.1,29.4,ML,Novel1,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour3.2,10.44,ML,Novel2,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour3.3,0,ML,Novel3,1640178404117_000000_20211222WFNC9ORF51C,4,Male,15,No,1
Odour1.1,44.92,ML,Novel1,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour1.2,27.76,ML,Novel2,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour1.3,33.16,ML,Novel3,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour2.1,35.08,ML,Water1,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour2.2,13.92,ML,Water2,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour2.3,11.92,ML,Water3,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour3.1,12.68,ML,Familiar1,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour3.2,8.64,ML,Familiar2,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour3.3,8.72,ML,Familiar3,1643710387214_000000_20220201NWFC9ORF61c,2,Male,15,No,1
Odour1.1,31,ML,Novel1,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour1.2,15.12,ML,Novel2,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour1.3,1.44,ML,Novel3,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour2.1,49.88,ML,Water1,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour2.2,18.04,ML,Water2,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour2.3,34.84,ML,Water3,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour3.1,25.92,ML,Familiar1,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour3.2,24.92,ML,Familiar2,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour3.3,18.36,ML,Familiar3,1643710413634_000000_20220201NWFC9ORF62f,2,Male,15,No,1
Odour1.1,0,ML,Familiar1,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour1.2,0,ML,Familiar2,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour1.3,20.64,ML,Familiar3,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour2.1,19.36,ML,Novel1,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,1
Odour2.2,4.72,ML,Novel2,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,1
Odour2.3,1.4,ML,Novel3,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,1
Odour3.1,5.36,ML,Water1,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour3.2,0.56,ML,Water2,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour3.3,0,ML,Water3,1643710473231_000000_20220201FNWC9ORF41b,4,Female,15,No,0
Odour1.1,25.16,ML,Familiar1,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,1
Odour1.2,3.76,ML,Familiar2,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,1
Odour1.3,2,ML,Familiar3,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,1
Odour2.1,4.88,ML,Novel1,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour2.2,13.76,ML,Novel2,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour2.3,0,ML,Novel3,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour3.1,7.72,ML,Water1,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour3.2,0,ML,Water2,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour3.3,0,ML,Water3,1643715065534_000000_20220201FNWC9ORF62c,2,Female,15,No,0
Odour1.1,23.6,ML,Familiar1,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour1.2,23.72,ML,Familiar2,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour1.3,10.08,ML,Familiar3,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour2.1,19.04,ML,Novel1,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour2.2,27.48,ML,Novel2,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour2.3,17.72,ML,Novel3,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour3.1,17.8,ML,Water1,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour3.2,0,ML,Water2,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour3.3,0.64,ML,Water3,1643715125135_000000_20220201FNWC9ORF81b,2,Female,15,No,1
Odour1.1,31.04,ML,Novel1,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour1.2,8.84,ML,Novel2,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour1.3,0.48,ML,Novel3,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour2.1,0.52,ML,Familiar1,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,0
Odour2.2,0,ML,Familiar2,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,0
Odour2.3,0,ML,Familiar3,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,0
Odour3.1,17.24,ML,Water1,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour3.2,0,ML,Water2,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour3.3,0,ML,Water3,1643715240372_000000_20220201NFWC9ORF72c,4,Male,15,No,1
Odour1.1,20.24,ML,Novel1,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour1.2,4.6,ML,Novel2,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour1.3,15.6,ML,Novel3,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour2.1,60.92,ML,Familiar1,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour2.2,4.8,ML,Familiar2,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour2.3,1.48,ML,Familiar3,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour3.1,19.4,ML,Water1,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour3.2,3,ML,Water2,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour3.3,0,ML,Water3,1643715268189_000000_20220201NFWC9ORF72e,4,Male,15,No,1
Odour1.1,18.36,ML,Novel1,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour1.2,39.64,ML,Novel2,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour1.3,9.32,ML,Novel3,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour2.1,13.48,ML,Familiar1,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour2.2,14.36,ML,Familiar2,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour2.3,12.32,ML,Familiar3,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour3.1,12.92,ML,Water1,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour3.2,5.96,ML,Water2,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour3.3,5.84,ML,Water3,1643715291621_000000_20220201NFWC9ORF72g,4,Male,15,No,1
Odour1.1,8.8,ML,Water1,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour1.2,0,ML,Water2,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour1.3,0,ML,Water3,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour2.1,37.92,ML,Familiar1,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,1
Odour2.2,0,ML,Familiar2,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,1
Odour2.3,17.36,ML,Familiar3,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,1
Odour3.1,0,ML,Novel1,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour3.2,12.36,ML,Novel2,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour3.3,12.76,ML,Novel3,1643794722468_000000_20220202WFNC9ORF71d,2,Female,15,No,0
Odour1.1,9.84,ML,Water1,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,0
Odour1.2,2.76,ML,Water2,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,0
Odour1.3,1.96,ML,Water3,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,0
Odour2.1,17.4,ML,Familiar1,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour2.2,12.72,ML,Familiar2,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour2.3,3.84,ML,Familiar3,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour3.1,37.8,ML,Novel1,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour3.2,21.44,ML,Novel2,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour3.3,7.44,ML,Novel3,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour1.1,11.04,ML,Water1,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour1.2,20.2,ML,Water2,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour1.3,0.56,ML,Water3,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour2.1,14.24,ML,Familiar1,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour2.2,13.76,ML,Familiar2,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour2.3,0,ML,Familiar3,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour3.1,25.76,ML,Novel1,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour3.2,17.4,ML,Novel2,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour3.3,5.92,ML,Novel3,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour1.1,34.76,ML,Novel1,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour1.2,6.04,ML,Novel2,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour1.3,5.4,ML,Novel3,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour2.1,8.84,ML,Water1,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,0
Odour2.2,2.08,ML,Water2,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,0
Odour2.3,0,ML,Water3,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,0
Odour3.1,24.56,ML,Familiar1,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour3.2,2.2,ML,Familiar2,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour3.3,0,ML,Familiar3,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour1.1,25.04,ML,Novel1,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour1.2,7.56,ML,Novel2,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour1.3,2.72,ML,Novel3,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour2.1,6.6,ML,Water1,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,0
Odour2.2,0.24,ML,Water2,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,0
Odour2.3,1.68,ML,Water3,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,0
Odour3.1,35.36,ML,Familiar1,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour3.2,11.96,ML,Familiar2,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour3.3,14.52,ML,Familiar3,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour1.1,23.76,ML,Novel1,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour1.2,9.52,ML,Novel2,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour1.3,8.44,ML,Novel3,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour2.1,16.92,ML,Familiar1,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour2.2,0,ML,Familiar2,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour2.3,5.52,ML,Familiar3,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour3.1,7.2,ML,Water1,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,0
Odour3.2,4.76,ML,Water2,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,0
Odour3.3,1.92,ML,Water3,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,0
Odour1.1,26.64,ML,Novel1,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour1.2,11.6,ML,Novel2,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour1.3,11.44,ML,Novel3,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour2.1,10.32,ML,Familiar1,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour2.2,9.68,ML,Familiar2,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour2.3,5.68,ML,Familiar3,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour3.1,10.28,ML,Water1,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour3.2,9.32,ML,Water2,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour3.3,5,ML,Water3,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour1.1,32.7,Manual,Novel1,1671611841850_000000_20221221NWFC9ORF31c,4,Female,67,No,1
Odour1.2,15.5,Manual,Novel2,1671611841850_000000_20221221NWFC9ORF31c,4,Female,67,No,1
Odour1.3,12.9,Manual,Novel3,1671611841850_000000_20221221NWFC9ORF31c,4,Female,67,No,1
Odour2.1,19.3,Manual,Water1,1671611841850_000000_20221221NWFC9ORF31c,4,Female,67,No,1
Odour2.2,7.9,Manual,Water2,1671611841850_000000_20221221NWFC9ORF31c,4,Female,67,No,1
Odour2.3,0,Manual,Water3,1671611841850_000000_20221221NWFC9ORF31c,4,Female,67,No,1
Odour3.1,37,Manual,Familiar1,1671611841850_000000_20221221NWFC9ORF31c,4,Female,67,No,1
Odour3.2,3,Manual,Familiar2,1671611841850_000000_20221221NWFC9ORF31c,4,Female,67,No,1
Odour3.3,17.3,Manual,Familiar3,1671611841850_000000_20221221NWFC9ORF31c,4,Female,67,No,1
Odour1.1,40,Manual,Novel1,1671614382683_000000_20221221NFWC9ORF31d,2,Female,67,No,1
Odour1.2,11.4,Manual,Novel2,1671614382683_000000_20221221NFWC9ORF31d,2,Female,67,No,1
Odour1.3,10.9,Manual,Novel3,1671614382683_000000_20221221NFWC9ORF31d,2,Female,67,No,1
Odour2.1,36.6,Manual,Familiar1,1671614382683_000000_20221221NFWC9ORF31d,2,Female,67,No,1
Odour2.2,10.7,Manual,Familiar2,1671614382683_000000_20221221NFWC9ORF31d,2,Female,67,No,1
Odour2.3,6.6,Manual,Familiar3,1671614382683_000000_20221221NFWC9ORF31d,2,Female,67,No,1
Odour3.1,16.7,Manual,Water1,1671614382683_000000_20221221NFWC9ORF31d,2,Female,67,No,1
