Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Age,Filtered,Status
Odour3.3,4.6,Water3,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,15,No,1
Odour1.1,16,Water1,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,15,No,1
Odour1.2,17.8,Water2,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,15,No,1
Odour1.3,1.1,Water3,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,15,No,1
Odour2.1,58.7,Familiar1,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,15,No,1
Odour2.2,22,Familiar2,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,15,No,1
Odour2.3,6.9,Familiar3,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,15,No,1
Odour3.1,12,Novel1,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,15,No,1
Odour3.2,4.1,Novel2,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,15,No,1
Odour3.3,6.1,Novel3,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,15,No,1
Odour1.1,16.2,Water1,1645095205581_000000_20220217WFNTDP4392c,Manual,H,Male,15,No,1
Odour1.2,1.4,Water2,1645095205581_000000_20220217WFNTDP4392c,Manual,H,Male,15,No,1
Odour1.3,4,Water3,1645095205581_000000_20220217WFNTDP4392c,Manual,H,Male,15,No,1
Odour2.1,18.2,Familiar1,1645095205581_000000_20220217WFNTDP4392c,Manual,H,Male,15,No,1
Odour2.2,1.7,Familiar2,1645095205581_000000_20220217WFNTDP4392c,Manual,H,Male,15,No,1
Odour2.3,8.4,Familiar3,1645095205581_000000_20220217WFNTDP4392c,Manual,H,Male,15,No,1
Odour3.1,4.1,Novel1,1645095205581_000000_20220217WFNTDP4392c,Manual,H,Male,15,No,0
Odour3.2,0,Novel2,1645095205581_000000_20220217WFNTDP4392c,Manual,H,Male,15,No,0
Odour3.3,0,Novel3,1645095205581_000000_20220217WFNTDP4392c,Manual,H,Male,15,No,0
Odour1.1,7.52,Novel1,1639648004702_000000_20211216NFWTDP4311a,ML,G,Female,15,No,0
Odour1.2,25.4,Novel2,1639648004702_000000_20211216NFWTDP4311a,ML,G,Female,15,No,0
Odour1.3,0.56,Novel3,1639648004702_000000_20211216NFWTDP4311a,ML,G,Female,15,No,0
Odour2.1,4.72,Familiar1,1639648004702_000000_20211216NFWTDP4311a,ML,G,Female,15,No,0
Odour2.2,0,Familiar2,1639648004702_000000_20211216NFWTDP4311a,ML,G,Female,15,No,0
Odour2.3,0,Familiar3,1639648004702_000000_20211216NFWTDP4311a,ML,G,Female,15,No,0
Odour3.1,16.72,Water1,1639648004702_000000_20211216NFWTDP4311a,ML,G,Female,15,No,1
Odour3.2,17.6,Water2,1639648004702_000000_20211216NFWTDP4311a,ML,G,Female,15,No,1
Odour3.3,0.24,Water3,1639648004702_000000_20211216NFWTDP4311a,ML,G,Female,15,No,1
Odour1.1,26.88,Familiar1,1639654701381_000000_20211216FNWTDP4321b,ML,H,Female,15,No,1
Odour1.2,11.64,Familiar2,1639654701381_000000_20211216FNWTDP4321b,ML,H,Female,15,No,1
Odour1.3,0.76,Familiar3,1639654701381_000000_20211216FNWTDP4321b,ML,H,Female,15,No,1
Odour2.1,6.4,Novel1,1639654701381_000000_20211216FNWTDP4321b,ML,H,Female,15,No,0
Odour2.2,1.04,Novel2,1639654701381_000000_20211216FNWTDP4321b,ML,H,Female,15,No,0
Odour2.3,5.56,Novel3,1639654701381_000000_20211216FNWTDP4321b,ML,H,Female,15,No,0
Odour3.1,22.6,Water1,1639654701381_000000_20211216FNWTDP4321b,ML,H,Female,15,No,1
Odour3.2,0,Water2,1639654701381_000000_20211216FNWTDP4321b,ML,H,Female,15,No,1
Odour3.3,0,Water3,1639654701381_000000_20211216FNWTDP4321b,ML,H,Female,15,No,1
Odour1.1,19.64,Novel1,1639654878289_000000_20211216NFWTDP4322d,ML,H,Female,15,No,1
Odour1.2,4.36,Novel2,1639654878289_000000_20211216NFWTDP4322d,ML,H,Female,15,No,1
Odour1.3,19.08,Novel3,1639654878289_000000_20211216NFWTDP4322d,ML,H,Female,15,No,1
Odour2.1,4.68,Familiar1,1639654878289_000000_20211216NFWTDP4322d,ML,H,Female,15,No,0
Odour2.2,0,Familiar2,1639654878289_000000_20211216NFWTDP4322d,ML,H,Female,15,No,0
Odour2.3,0.24,Familiar3,1639654878289_000000_20211216NFWTDP4322d,ML,H,Female,15,No,0
Odour3.1,4.2,Water1,1639654878289_000000_20211216NFWTDP4322d,ML,H,Female,15,No,0
Odour3.2,7.08,Water2,1639654878289_000000_20211216NFWTDP4322d,ML,H,Female,15,No,0
Odour3.3,3.84,Water3,1639654878289_000000_20211216NFWTDP4322d,ML,H,Female,15,No,0
Odour1.1,22.68,Novel1,1639654911074_000000_20211216NFWTDP4332a,ML,H,Female,15,No,1
Odour1.2,5.24,Novel2,1639654911074_000000_20211216NFWTDP4332a,ML,H,Female,15,No,1
Odour1.3,1.6,Novel3,1639654911074_000000_20211216NFWTDP4332a,ML,H,Female,15,No,1
Odour2.1,10.56,Familiar1,1639654911074_000000_20211216NFWTDP4332a,ML,H,Female,15,No,1
Odour2.2,1.96,Familiar2,1639654911074_000000_20211216NFWTDP4332a,ML,H,Female,15,No,1
Odour2.3,6.72,Familiar3,1639654911074_000000_20211216NFWTDP4332a,ML,H,Female,15,No,1
Odour3.1,10,Water1,1639654911074_000000_20211216NFWTDP4332a,ML,H,Female,15,No,1
Odour3.2,5.28,Water2,1639654911074_000000_20211216NFWTDP4332a,ML,H,Female,15,No,1
Odour3.3,0.92,Water3,1639654911074_000000_20211216NFWTDP4332a,ML,H,Female,15,No,1
Odour1.1,56.08,Novel1,1639654945839_000000_20211216NFWTDP4361c,ML,H,Female,15,No,1
Odour1.2,14.2,Novel2,1639654945839_000000_20211216NFWTDP4361c,ML,H,Female,15,No,1
Odour1.3,2.28,Novel3,1639654945839_000000_20211216NFWTDP4361c,ML,H,Female,15,No,1
Odour2.1,12.36,Familiar1,1639654945839_000000_20211216NFWTDP4361c,ML,H,Female,15,No,1
Odour2.2,10.68,Familiar2,1639654945839_000000_20211216NFWTDP4361c,ML,H,Female,15,No,1
Odour2.3,13.2,Familiar3,1639654945839_000000_20211216NFWTDP4361c,ML,H,Female,15,No,1
Odour3.1,3.16,Water1,1639654945839_000000_20211216NFWTDP4361c,ML,H,Female,15,No,0
Odour3.2,7.04,Water2,1639654945839_000000_20211216NFWTDP4361c,ML,H,Female,15,No,0
Odour3.3,3.12,Water3,1639654945839_000000_20211216NFWTDP4361c,ML,H,Female,15,No,0
Odour1.1,33.52,Familiar1,1639657412770_000000_20211216FNWTDP4311f,ML,H,Male,15,No,1
Odour1.2,21.92,Familiar2,1639657412770_000000_20211216FNWTDP4311f,ML,H,Male,15,No,1
Odour1.3,28.08,Familiar3,1639657412770_000000_20211216FNWTDP4311f,ML,H,Male,15,No,1
Odour2.1,20.2,Novel1,1639657412770_000000_20211216FNWTDP4311f,ML,H,Male,15,No,1
Odour2.2,7.32,Novel2,1639657412770_000000_20211216FNWTDP4311f,ML,H,Male,15,No,1
Odour2.3,0,Novel3,1639657412770_000000_20211216FNWTDP4311f,ML,H,Male,15,No,1
Odour3.1,9.4,Water1,1639657412770_000000_20211216FNWTDP4311f,ML,H,Male,15,No,0
Odour3.2,0,Water2,1639657412770_000000_20211216FNWTDP4311f,ML,H,Male,15,No,0
Odour3.3,0,Water3,1639657412770_000000_20211216FNWTDP4311f,ML,H,Male,15,No,0
Odour1.1,22.52,Familiar1,1639657513165_000000_20211216FNWTDP4361g,ML,H,Male,15,No,1
Odour1.2,28.04,Familiar2,1639657513165_000000_20211216FNWTDP4361g,ML,H,Male,15,No,1
Odour1.3,31.6,Familiar3,1639657513165_000000_20211216FNWTDP4361g,ML,H,Male,15,No,1
Odour2.1,23.36,Novel1,1639657513165_000000_20211216FNWTDP4361g,ML,H,Male,15,No,1
Odour2.2,45.64,Novel2,1639657513165_000000_20211216FNWTDP4361g,ML,H,Male,15,No,1
Odour2.3,14.2,Novel3,1639657513165_000000_20211216FNWTDP4361g,ML,H,Male,15,No,1
Odour3.1,30.52,Water1,1639657513165_000000_20211216FNWTDP4361g,ML,H,Male,15,No,1
Odour3.2,8.24,Water2,1639657513165_000000_20211216FNWTDP4361g,ML,H,Male,15,No,1
Odour3.3,0,Water3,1639657513165_000000_20211216FNWTDP4361g,ML,H,Male,15,No,1
Odour1.1,4.6,Water1,1639657662975_000000_20211216WFNTDP4311i,ML,G,Male,15,No,0
Odour1.2,0.2,Water2,1639657662975_000000_20211216WFNTDP4311i,ML,G,Male,15,No,0
Odour1.3,0,Water3,1639657662975_000000_20211216WFNTDP4311i,ML,G,Male,15,No,0
Odour2.1,32.08,Familiar1,1639657662975_000000_20211216WFNTDP4311i,ML,G,Male,15,No,1
Odour2.2,24.72,Familiar2,1639657662975_000000_20211216WFNTDP4311i,ML,G,Male,15,No,1
Odour2.3,5.56,Familiar3,1639657662975_000000_20211216WFNTDP4311i,ML,G,Male,15,No,1
Odour3.1,0,Novel1,1639657662975_000000_20211216WFNTDP4311i,ML,G,Male,15,No,0
Odour3.2,0,Novel2,1639657662975_000000_20211216WFNTDP4311i,ML,G,Male,15,No,0
Odour3.3,0,Novel3,1639657662975_000000_20211216WFNTDP4311i,ML,G,Male,15,No,0
Odour1.1,3.72,Water1,1639657707616_000000_20211216WFNTDP4391h,ML,G,Male,15,No,0
Odour1.2,0,Water2,1639657707616_000000_20211216WFNTDP4391h,ML,G,Male,15,No,0
Odour1.3,24.24,Water3,1639657707616_000000_20211216WFNTDP4391h,ML,G,Male,15,No,0
Odour2.1,47.92,Familiar1,1639657707616_000000_20211216WFNTDP4391h,ML,G,Male,15,No,1
Odour2.2,14.08,Familiar2,1639657707616_000000_20211216WFNTDP4391h,ML,G,Male,15,No,1
Odour2.3,8.24,Familiar3,1639657707616_000000_20211216WFNTDP4391h,ML,G,Male,15,No,1
Odour3.1,9.88,Novel1,1639657707616_000000_20211216WFNTDP4391h,ML,G,Male,15,No,0
Odour3.2,6.48,Novel2,1639657707616_000000_20211216WFNTDP4391h,ML,G,Male,15,No,0
Odour3.3,0,Novel3,1639657707616_000000_20211216WFNTDP4391h,ML,G,Male,15,No,0
Odour1.1,22.48,Novel1,1639663160017_000000_20211216NFWTDP4311h,ML,H,Male,15,No,1
Odour1.2,29.88,Novel2,1639663160017_000000_20211216NFWTDP4311h,ML,H,Male,15,No,1
Odour1.3,47.76,Novel3,1639663160017_000000_20211216NFWTDP4311h,ML,H,Male,15,No,1
Odour2.1,7.52,Familiar1,1639663160017_000000_20211216NFWTDP4311h,ML,H,Male,15,No,0
Odour2.2,5.96,Familiar2,1639663160017_000000_20211216NFWTDP4311h,ML,H,Male,15,No,0
Odour2.3,2.28,Familiar3,1639663160017_000000_20211216NFWTDP4311h,ML,H,Male,15,No,0
Odour3.1,11.84,Water1,1639663160017_000000_20211216NFWTDP4311h,ML,H,Male,15,No,1
Odour3.2,0,Water2,1639663160017_000000_20211216NFWTDP4311h,ML,H,Male,15,No,1
Odour3.3,0,Water3,1639663160017_000000_20211216NFWTDP4311h,ML,H,Male,15,No,1
Odour1.1,26.32,Novel1,1639663198143_000000_20211216NFWTDP4381d,ML,H,Male,15,No,1
Odour1.2,11.16,Novel2,1639663198143_000000_20211216NFWTDP4381d,ML,H,Male,15,No,1
Odour1.3,42.72,Novel3,1639663198143_000000_20211216NFWTDP4381d,ML,H,Male,15,No,1
Odour2.1,3.96,Familiar1,1639663198143_000000_20211216NFWTDP4381d,ML,H,Male,15,No,0
Odour2.2,0,Familiar2,1639663198143_000000_20211216NFWTDP4381d,ML,H,Male,15,No,0
Odour2.3,0,Familiar3,1639663198143_000000_20211216NFWTDP4381d,ML,H,Male,15,No,0
Odour3.1,35.28,Water1,1639663198143_000000_20211216NFWTDP4381d,ML,H,Male,15,No,1
Odour3.2,1.8,Water2,1639663198143_000000_20211216NFWTDP4381d,ML,H,Male,15,No,1
Odour3.3,0,Water3,1639663198143_000000_20211216NFWTDP4381d,ML,H,Male,15,No,1
Odour1.1,18.36,Novel1,1639663244146_000000_20211216NFWTDP4391g,ML,H,Male,15,No,1
Odour1.2,4.32,Novel2,1639663244146_000000_20211216NFWTDP4391g,ML,H,Male,15,No,1
Odour1.3,0,Novel3,1639663244146_000000_20211216NFWTDP4391g,ML,H,Male,15,No,1
Odour2.1,24.4,Familiar1,1639663244146_000000_20211216NFWTDP4391g,ML,H,Male,15,No,1
Odour2.2,52.96,Familiar2,1639663244146_000000_20211216NFWTDP4391g,ML,H,Male,15,No,1
Odour2.3,37.88,Familiar3,1639663244146_000000_20211216NFWTDP4391g,ML,H,Male,15,No,1
Odour3.1,10.56,Water1,1639663244146_000000_20211216NFWTDP4391g,ML,H,Male,15,No,1
Odour3.2,0,Water2,1639663244146_000000_20211216NFWTDP4391g,ML,H,Male,15,No,1
Odour3.3,0,Water3,1639663244146_000000_20211216NFWTDP4391g,ML,H,Male,15,No,1
Odour1.1,36.76,Novel1,1645002557994_000000_20220216NWFTDP4312b,ML,G,Female,15,No,1
Odour1.2,44.2,Novel2,1645002557994_000000_20220216NWFTDP4312b,ML,G,Female,15,No,1
Odour1.3,32.92,Novel3,1645002557994_000000_20220216NWFTDP4312b,ML,G,Female,15,No,1
Odour2.1,35.88,Water1,1645002557994_000000_20220216NWFTDP4312b,ML,G,Female,15,No,1
Odour2.2,28,Water2,1645002557994_000000_20220216NWFTDP4312b,ML,G,Female,15,No,1
Odour2.3,6.28,Water3,1645002557994_000000_20220216NWFTDP4312b,ML,G,Female,15,No,1
Odour3.1,57.24,Familiar1,1645002557994_000000_20220216NWFTDP4312b,ML,G,Female,15,No,1
Odour3.2,29.68,Familiar2,1645002557994_000000_20220216NWFTDP4312b,ML,G,Female,15,No,1
Odour3.3,27.92,Familiar3,1645002557994_000000_20220216NWFTDP4312b,ML,G,Female,15,No,1
Odour1.1,43.64,Novel1,1645002629680_000000_20220216NWFTDP4323c,ML,G,Female,15,No,1
Odour1.2,33.96,Novel2,1645002629680_000000_20220216NWFTDP4323c,ML,G,Female,15,No,1
Odour1.3,7.16,Novel3,1645002629680_000000_20220216NWFTDP4323c,ML,G,Female,15,No,1
Odour2.1,12.24,Water1,1645002629680_000000_20220216NWFTDP4323c,ML,G,Female,15,No,1
Odour2.2,6.56,Water2,1645002629680_000000_20220216NWFTDP4323c,ML,G,Female,15,No,1
Odour2.3,10.12,Water3,1645002629680_000000_20220216NWFTDP4323c,ML,G,Female,15,No,1
Odour3.1,38.72,Familiar1,1645002629680_000000_20220216NWFTDP4323c,ML,G,Female,15,No,1
Odour3.2,19.76,Familiar2,1645002629680_000000_20220216NWFTDP4323c,ML,G,Female,15,No,1
Odour3.3,10.28,Familiar3,1645002629680_000000_20220216NWFTDP4323c,ML,G,Female,15,No,1
Odour1.1,18.36,Novel1,1645002664740_000000_20220216NWFTDP4342e,ML,G,Female,15,No,1
Odour1.2,22.12,Novel2,1645002664740_000000_20220216NWFTDP4342e,ML,G,Female,15,No,1
Odour1.3,7.84,Novel3,1645002664740_000000_20220216NWFTDP4342e,ML,G,Female,15,No,1
Odour2.1,31.6,Water1,1645002664740_000000_20220216NWFTDP4342e,ML,G,Female,15,No,1
Odour2.2,8,Water2,1645002664740_000000_20220216NWFTDP4342e,ML,G,Female,15,No,1
Odour2.3,4.72,Water3,1645002664740_000000_20220216NWFTDP4342e,ML,G,Female,15,No,1
Odour3.1,30.32,Familiar1,1645002664740_000000_20220216NWFTDP4342e,ML,G,Female,15,No,1
Odour3.2,19.68,Familiar2,1645002664740_000000_20220216NWFTDP4342e,ML,G,Female,15,No,1
Odour3.3,10.72,Familiar3,1645002664740_000000_20220216NWFTDP4342e,ML,G,Female,15,No,1
Odour1.1,16.24,Novel1,1645002721824_000000_20220216NFWTDP4312e,ML,H,Female,15,No,1
Odour1.2,18.48,Novel2,1645002721824_000000_20220216NFWTDP4312e,ML,H,Female,15,No,1
Odour1.3,19.84,Novel3,1645002721824_000000_20220216NFWTDP4312e,ML,H,Female,15,No,1
Odour2.1,23.52,Familiar1,1645002721824_000000_20220216NFWTDP4312e,ML,H,Female,15,No,1
Odour2.2,13.36,Familiar2,1645002721824_000000_20220216NFWTDP4312e,ML,H,Female,15,No,1
Odour2.3,35.52,Familiar3,1645002721824_000000_20220216NFWTDP4312e,ML,H,Female,15,No,1
Odour3.1,34.08,Water1,1645002721824_000000_20220216NFWTDP4312e,ML,H,Female,15,No,1
Odour3.2,7.8,Water2,1645002721824_000000_20220216NFWTDP4312e,ML,H,Female,15,No,1
Odour3.3,10.2,Water3,1645002721824_000000_20220216NFWTDP4312e,ML,H,Female,15,No,1
Odour1.1,18.88,Novel1,1645002760785_000000_20220216NFWTDP4324c,ML,H,Female,15,No,1
Odour1.2,7.96,Novel2,1645002760785_000000_20220216NFWTDP4324c,ML,H,Female,15,No,1
Odour1.3,23.56,Novel3,1645002760785_000000_20220216NFWTDP4324c,ML,H,Female,15,No,1
Odour2.1,20.12,Familiar1,1645002760785_000000_20220216NFWTDP4324c,ML,H,Female,15,No,1
Odour2.2,11.6,Familiar2,1645002760785_000000_20220216NFWTDP4324c,ML,H,Female,15,No,1
Odour2.3,1.72,Familiar3,1645002760785_000000_20220216NFWTDP4324c,ML,H,Female,15,No,1
Odour3.1,3.52,Water1,1645002760785_000000_20220216NFWTDP4324c,ML,H,Female,15,No,0
Odour3.2,9.16,Water2,1645002760785_000000_20220216NFWTDP4324c,ML,H,Female,15,No,0
Odour3.3,3.4,Water3,1645002760785_000000_20220216NFWTDP4324c,ML,H,Female,15,No,0
Odour1.1,30.84,Novel1,1645002792388_000000_20220216NFWTDP4342b,ML,H,Female,15,No,1
Odour1.2,12.92,Novel2,1645002792388_000000_20220216NFWTDP4342b,ML,H,Female,15,No,1
Odour1.3,25.48,Novel3,1645002792388_000000_20220216NFWTDP4342b,ML,H,Female,15,No,1
Odour2.1,20.84,Familiar1,1645002792388_000000_20220216NFWTDP4342b,ML,H,Female,15,No,1
Odour2.2,9.32,Familiar2,1645002792388_000000_20220216NFWTDP4342b,ML,H,Female,15,No,1
Odour2.3,47.76,Familiar3,1645002792388_000000_20220216NFWTDP4342b,ML,H,Female,15,No,1
Odour3.1,37.64,Water1,1645002792388_000000_20220216NFWTDP4342b,ML,H,Female,15,No,1
Odour3.2,9.08,Water2,1645002792388_000000_20220216NFWTDP4342b,ML,H,Female,15,No,1
Odour3.3,5.44,Water3,1645002792388_000000_20220216NFWTDP4342b,ML,H,Female,15,No,1
Odour1.1,48.64,Familiar1,1645005524338_000000_20220216FNWTDP4323b,ML,H,Female,15,No,1
Odour1.2,0,Familiar2,1645005524338_000000_20220216FNWTDP4323b,ML,H,Female,15,No,1
Odour1.3,0,Familiar3,1645005524338_000000_20220216FNWTDP4323b,ML,H,Female,15,No,1
Odour2.1,0,Novel1,1645005524338_000000_20220216FNWTDP4323b,ML,H,Female,15,No,0
Odour2.2,0,Novel2,1645005524338_000000_20220216FNWTDP4323b,ML,H,Female,15,No,0
Odour2.3,0.96,Novel3,1645005524338_000000_20220216FNWTDP4323b,ML,H,Female,15,No,0
Odour3.1,0,Water1,1645005524338_000000_20220216FNWTDP4323b,ML,H,Female,15,No,0
Odour3.2,0,Water2,1645005524338_000000_20220216FNWTDP4323b,ML,H,Female,15,No,0
Odour3.3,0,Water3,1645005524338_000000_20220216FNWTDP4323b,ML,H,Female,15,No,0
Odour1.1,0,Water1,1645005796620_000000_120220216WFNTDP4362d,ML,G,Female,15,No,0
Odour1.2,0,Water2,1645005796620_000000_120220216WFNTDP4362d,ML,G,Female,15,No,0
Odour1.3,0,Water3,1645005796620_000000_120220216WFNTDP4362d,ML,G,Female,15,No,0
Odour2.1,27.44,Familiar1,1645005796620_000000_120220216WFNTDP4362d,ML,G,Female,15,No,1
Odour2.2,0.32,Familiar2,1645005796620_000000_120220216WFNTDP4362d,ML,G,Female,15,No,1
Odour2.3,2.28,Familiar3,1645005796620_000000_120220216WFNTDP4362d,ML,G,Female,15,No,1
Odour3.1,16.44,Novel1,1645005796620_000000_120220216WFNTDP4362d,ML,G,Female,15,No,1
Odour3.2,7.28,Novel2,1645005796620_000000_120220216WFNTDP4362d,ML,G,Female,15,No,1
Odour3.3,4.56,Novel3,1645005796620_000000_120220216WFNTDP4362d,ML,G,Female,15,No,1
Odour1.1,10.6,Water1,1645005820655_000000_120220216WFNTDP4382c,ML,G,Female,15,No,1
Odour1.2,0,Water2,1645005820655_000000_120220216WFNTDP4382c,ML,G,Female,15,No,1
Odour1.3,5.44,Water3,1645005820655_000000_120220216WFNTDP4382c,ML,G,Female,15,No,1
Odour2.1,45.2,Familiar1,1645005820655_000000_120220216WFNTDP4382c,ML,G,Female,15,No,1
Odour2.2,0,Familiar2,1645005820655_000000_120220216WFNTDP4382c,ML,G,Female,15,No,1
Odour2.3,6.8,Familiar3,1645005820655_000000_120220216WFNTDP4382c,ML,G,Female,15,No,1
Odour3.1,29.68,Novel1,1645005820655_000000_120220216WFNTDP4382c,ML,G,Female,15,No,1
Odour3.2,0,Novel2,1645005820655_000000_120220216WFNTDP4382c,ML,G,Female,15,No,1
Odour3.3,0,Novel3,1645005820655_000000_120220216WFNTDP4382c,ML,G,Female,15,No,1
Odour1.1,10.36,Familiar1,1645010806237_000000_120220216FNWTDP4323g,ML,G,Male,15,No,1
Odour1.2,17.32,Familiar2,1645010806237_000000_120220216FNWTDP4323g,ML,G,Male,15,No,1
Odour1.3,15.08,Familiar3,1645010806237_000000_120220216FNWTDP4323g,ML,G,Male,15,No,1
Odour2.1,21.64,Novel1,1645010806237_000000_120220216FNWTDP4323g,ML,G,Male,15,No,1
Odour2.2,8.12,Novel2,1645010806237_000000_120220216FNWTDP4323g,ML,G,Male,15,No,1
Odour2.3,2.04,Novel3,1645010806237_000000_120220216FNWTDP4323g,ML,G,Male,15,No,1
Odour3.1,15.96,Water1,1645010806237_000000_120220216FNWTDP4323g,ML,G,Male,15,No,1
Odour3.2,0.4,Water2,1645010806237_000000_120220216FNWTDP4323g,ML,G,Male,15,No,1
Odour3.3,6.16,Water3,1645010806237_000000_120220216FNWTDP4323g,ML,G,Male,15,No,1
Odour1.1,27.16,Familiar1,1645010829962_000000_120220216FNWTDP4333i,ML,G,Male,15,No,1
Odour1.2,11.72,Familiar2,1645010829962_000000_120220216FNWTDP4333i,ML,G,Male,15,No,1
Odour1.3,0.28,Familiar3,1645010829962_000000_120220216FNWTDP4333i,ML,G,Male,15,No,1
Odour2.1,41.2,Novel1,1645010829962_000000_120220216FNWTDP4333i,ML,G,Male,15,No,1
Odour2.2,43.2,Novel2,1645010829962_000000_120220216FNWTDP4333i,ML,G,Male,15,No,1
Odour2.3,17.96,Novel3,1645010829962_000000_120220216FNWTDP4333i,ML,G,Male,15,No,1
Odour3.1,9.6,Water1,1645010829962_000000_120220216FNWTDP4333i,ML,G,Male,15,No,0
Odour3.2,0.28,Water2,1645010829962_000000_120220216FNWTDP4333i,ML,G,Male,15,No,0
Odour3.3,0.28,Water3,1645010829962_000000_120220216FNWTDP4333i,ML,G,Male,15,No,0
Odour1.1,28.88,Novel1,1645010914730_000000_120220216NWFTDP4323f,ML,G,Male,15,No,1
Odour1.2,10.96,Novel2,1645010914730_000000_120220216NWFTDP4323f,ML,G,Male,15,No,1
Odour1.3,11.36,Novel3,1645010914730_000000_120220216NWFTDP4323f,ML,G,Male,15,No,1
Odour2.1,17.56,Water1,1645010914730_000000_120220216NWFTDP4323f,ML,G,Male,15,No,1
Odour2.2,6.12,Water2,1645010914730_000000_120220216NWFTDP4323f,ML,G,Male,15,No,1
Odour2.3,0.48,Water3,1645010914730_000000_120220216NWFTDP4323f,ML,G,Male,15,No,1
Odour3.1,15.08,Familiar1,1645010914730_000000_120220216NWFTDP4323f,ML,G,Male,15,No,1
Odour3.2,0,Familiar2,1645010914730_000000_120220216NWFTDP4323f,ML,G,Male,15,No,1
Odour3.3,0,Familiar3,1645010914730_000000_120220216NWFTDP4323f,ML,G,Male,15,No,1
Odour1.1,29,Novel1,1645010941753_000000_120220216NWFTDP4333h,ML,G,Male,15,No,1
Odour1.2,25.88,Novel2,1645010941753_000000_120220216NWFTDP4333h,ML,G,Male,15,No,1
Odour1.3,1.96,Novel3,1645010941753_000000_120220216NWFTDP4333h,ML,G,Male,15,No,1
Odour2.1,7.08,Water1,1645010941753_000000_120220216NWFTDP4333h,ML,G,Male,15,No,0
Odour2.2,0.32,Water2,1645010941753_000000_120220216NWFTDP4333h,ML,G,Male,15,No,0
Odour2.3,0,Water3,1645010941753_000000_120220216NWFTDP4333h,ML,G,Male,15,No,0
Odour3.1,0,Familiar1,1645010941753_000000_120220216NWFTDP4333h,ML,G,Male,15,No,0
Odour3.2,0,Familiar2,1645010941753_000000_120220216NWFTDP4333h,ML,G,Male,15,No,0
Odour3.3,0,Familiar3,1645010941753_000000_120220216NWFTDP4333h,ML,G,Male,15,No,0
Odour1.1,35.92,Novel1,1645010974796_000000_120220216NWFTDP4351g,ML,G,Male,15,No,1
Odour1.2,17.44,Novel2,1645010974796_000000_120220216NWFTDP4351g,ML,G,Male,15,No,1
Odour1.3,3.84,Novel3,1645010974796_000000_120220216NWFTDP4351g,ML,G,Male,15,No,1
Odour2.1,18.28,Water1,1645010974796_000000_120220216NWFTDP4351g,ML,G,Male,15,No,1
Odour2.2,0,Water2,1645010974796_000000_120220216NWFTDP4351g,ML,G,Male,15,No,1
Odour2.3,0,Water3,1645010974796_000000_120220216NWFTDP4351g,ML,G,Male,15,No,1
Odour3.1,21.52,Familiar1,1645010974796_000000_120220216NWFTDP4351g,ML,G,Male,15,No,1
Odour3.2,3.68,Familiar2,1645010974796_000000_120220216NWFTDP4351g,ML,G,Male,15,No,1
Odour3.3,0,Familiar3,1645010974796_000000_120220216NWFTDP4351g,ML,G,Male,15,No,1
Odour1.1,44.08,Novel1,1645013391217_000000_120220216NWFTDP4371e,ML,H,Male,15,No,1
Odour1.2,81.08,Novel2,1645013391217_000000_120220216NWFTDP4371e,ML,H,Male,15,No,1
Odour1.3,71.12,Novel3,1645013391217_000000_120220216NWFTDP4371e,ML,H,Male,15,No,1
Odour2.1,36.8,Water1,1645013391217_000000_120220216NWFTDP4371e,ML,H,Male,15,No,1
Odour2.2,34.72,Water2,1645013391217_000000_120220216NWFTDP4371e,ML,H,Male,15,No,1
Odour2.3,5.08,Water3,1645013391217_000000_120220216NWFTDP4371e,ML,H,Male,15,No,1
Odour3.1,72.24,Familiar1,1645013391217_000000_120220216NWFTDP4371e,ML,H,Male,15,No,1
Odour3.2,49.16,Familiar2,1645013391217_000000_120220216NWFTDP4371e,ML,H,Male,15,No,1
Odour3.3,7.52,Familiar3,1645013391217_000000_120220216NWFTDP4371e,ML,H,Male,15,No,1
Odour1.1,12.24,Novel1,1645092945395_000000_20220217NFWTDP4333m,ML,G,Male,15,No,1
Odour1.2,4.84,Novel2,1645092945395_000000_20220217NFWTDP4333m,ML,G,Male,15,No,1
Odour1.3,12.76,Novel3,1645092945395_000000_20220217NFWTDP4333m,ML,G,Male,15,No,1
Odour2.1,13.56,Familiar1,1645092945395_000000_20220217NFWTDP4333m,ML,G,Male,15,No,1
Odour2.2,10.76,Familiar2,1645092945395_000000_20220217NFWTDP4333m,ML,G,Male,15,No,1
Odour2.3,9.28,Familiar3,1645092945395_000000_20220217NFWTDP4333m,ML,G,Male,15,No,1
Odour3.1,31.56,Water1,1645092945395_000000_20220217NFWTDP4333m,ML,G,Male,15,No,1
