Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Age,Filtered,Status
Odour3.2,0,Water2,1639657412770_000000_20211216FNWTDP4311f,Manual,H,Male,15,No,0
Odour3.3,0,Water3,1639657412770_000000_20211216FNWTDP4311f,Manual,H,Male,15,No,0
Odour1.1,23.1,Familiar1,1639657513165_000000_20211216FNWTDP4361g,Manual,H,Male,15,No,1
Odour1.2,29.9,Familiar2,1639657513165_000000_20211216FNWTDP4361g,Manual,H,Male,15,No,1
Odour1.3,12.4,Familiar3,1639657513165_000000_20211216FNWTDP4361g,Manual,H,Male,15,No,1
Odour2.1,24.9,Novel1,1639657513165_000000_20211216FNWTDP4361g,Manual,H,Male,15,No,1
Odour2.2,40.3,Novel2,1639657513165_000000_20211216FNWTDP4361g,Manual,H,Male,15,No,1
Odour2.3,20.1,Novel3,1639657513165_000000_20211216FNWTDP4361g,Manual,H,Male,15,No,1
Odour3.1,18.6,Water1,1639657513165_000000_20211216FNWTDP4361g,Manual,H,Male,15,No,1
Odour3.2,7.3,Water2,1639657513165_000000_20211216FNWTDP4361g,Manual,H,Male,15,No,1
Odour3.3,0,Water3,1639657513165_000000_20211216FNWTDP4361g,Manual,H,Male,15,No,1
Odour1.1,13.7,Water1,1639657662975_000000_20211216WFNTDP4311i,Manual,G,Male,15,No,1
Odour1.2,0.3,Water2,1639657662975_000000_20211216WFNTDP4311i,Manual,G,Male,15,No,1
Odour1.3,0,Water3,1639657662975_000000_20211216WFNTDP4311i,Manual,G,Male,15,No,1
Odour2.1,29.2,Familiar1,1639657662975_000000_20211216WFNTDP4311i,Manual,G,Male,15,No,1
Odour2.2,23.6,Familiar2,1639657662975_000000_20211216WFNTDP4311i,Manual,G,Male,15,No,1
Odour2.3,4.5,Familiar3,1639657662975_000000_20211216WFNTDP4311i,Manual,G,Male,15,No,1
Odour3.1,0,Novel1,1639657662975_000000_20211216WFNTDP4311i,Manual,G,Male,15,No,0
Odour3.2,0,Novel2,1639657662975_000000_20211216WFNTDP4311i,Manual,G,Male,15,No,0
Odour3.3,0,Novel3,1639657662975_000000_20211216WFNTDP4311i,Manual,G,Male,15,No,0
Odour1.1,4.9,Water1,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,15,No,0
Odour1.2,0,Water2,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,15,No,0
Odour1.3,18,Water3,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,15,No,0
Odour2.1,47.8,Familiar1,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,15,No,1
Odour2.2,12.9,Familiar2,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,15,No,1
Odour2.3,7.8,Familiar3,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,15,No,1
Odour3.1,9,Novel1,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,15,No,0
Odour3.2,6.3,Novel2,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,15,No,0
Odour3.3,0,Novel3,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,15,No,0
Odour1.1,32.5,Novel1,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,15,No,1
