FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
Angle (degrees) back_neck-abdomen-base_tail,0.0031613876123743278,0.0024301556119585713
Angle (degrees) back-abdomen-base_tail,0.0031375056395568962,0.0005689610471815535
Angle (degrees) nose-front-ear_left,0.003118603310839387,0.0016640017858584168
Angle (degrees) ear_left-ear_right-back,0.0031054622737361607,0.0012812026048529877
Angle (degrees) front-abdomen-base_tail,0.003094761136479481,0.002300907569818639
Angle (degrees) ear_left-back_neck-base_tail,0.003071230836917226,0.0032229491372403555
Angle (degrees) nose-front_neck-back2,0.0030517153627708004,0.0021526029746922956
Angle (degrees) back-back2-base_tail,0.003050209605536422,0.001707074010814432
Angle (degrees) nose-back-abdomen,0.003028134475304092,0.0027225292414102464
Angle (degrees) ear_left-back-back2,0.0030209132957651707,0.0018282140972960765
Angle (degrees) ear_right-back_neck-back2,0.0030183202261067662,0.00045659757364212246
Angle (degrees) ear_right-front_neck-back2,0.0030166626424899153,0.001331081499971293
Angle (degrees) front-ear_right-abdomen,0.0030158041249932757,0.0012595438009633054
Angle (degrees) back_neck-back-base_tail,0.0030156693552234473,0.0013229980271962363
Angle (degrees) back_neck-back2-base_tail,0.003014744805839327,0.001678470400051378
Angle (degrees) front-ear_left-front_neck,0.0030010310460778108,0.001433306446897162
Angle (degrees) front-back2-abdomen,0.0029940164900026252,0.0017501893444440363
Angle (degrees) ear_right-abdomen-base_tail,0.002991373043538367,0.0012651324701006645
Angle (degrees) front-front_neck-back,0.0029849044376208875,0.0017942608582198361
Angle (degrees) front-ear_right-base_tail,0.0029760282896965405,0.001640042733872885
Angle (degrees) front-ear_left-abdomen,0.0029750994857442366,0.0028862013656216034
Angle (degrees) ear_left-ear_right-back2,0.0029562866980349456,0.0009959004967157372
Angle (degrees) front_neck-back-back2,0.002941749253920958,0.0026102266337563952
Angle (degrees) ear_right-front_neck-base_tail,0.0029289877848482806,0.0013066479355692388
