Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour2.2,12.9,Familiar2,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,7.8,Familiar3,1639657707616_000000_20211216WFNTDP4391h,Manual,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour1.1,32.5,Novel1,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,28.7,Novel2,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,27,Novel3,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,Odour1.3,H,Novel3,Novel,3
Odour2.1,10.2,Familiar1,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,11.4,Familiar2,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,0,Familiar3,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,12.3,Water1,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,Odour3.1,H,Water1,Water,1
Odour3.2,0,Water2,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,Odour3.2,H,Water2,Water,2
Odour3.3,0,Water3,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,Odour3.3,H,Water3,Water,3
Odour1.1,21.7,Novel1,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,10.3,Novel2,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,17.8,Novel3,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,Odour1.3,H,Novel3,Novel,3
Odour2.1,10,Familiar1,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,0.2,Familiar2,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,0,Familiar3,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,12.9,Water1,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,Odour3.1,H,Water1,Water,1
Odour3.2,15,Water2,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,Odour3.2,H,Water2,Water,2
Odour3.3,0,Water3,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,Odour3.3,H,Water3,Water,3
Odour1.1,17.8,Novel1,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,5.1,Novel2,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,0,Novel3,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,Odour1.3,H,Novel3,Novel,3
Odour3.1,11.4,Water1,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,Odour3.1,H,Water1,Water,1
Odour3.2,0,Water2,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,Odour3.2,H,Water2,Water,2
Odour3.3,0,Water3,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,Odour3.3,H,Water3,Water,3
Odour1.1,33.9,Novel1,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,Odour1.1,G,Novel1,Novel,1
Odour1.2,47.7,Novel2,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,Odour1.2,G,Novel2,Novel,2
Odour1.3,24.2,Novel3,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,Odour1.3,G,Novel3,Novel,3
Odour2.1,28.4,Water1,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,Odour2.1,G,Water1,Water,1
Odour2.2,30.1,Water2,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,Odour2.2,G,Water2,Water,2
Odour2.3,5,Water3,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,Odour2.3,G,Water3,Water,3
Odour3.1,65.5,Familiar1,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,33.6,Familiar2,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,Odour3.2,G,Familiar2,Familiar,2
Odour3.3,29.8,Familiar3,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,Odour3.3,G,Familiar3,Familiar,3
Odour1.1,46.3,Novel1,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,Odour1.1,G,Novel1,Novel,1
Odour1.2,35.3,Novel2,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,Odour1.2,G,Novel2,Novel,2
Odour1.3,5.4,Novel3,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,Odour1.3,G,Novel3,Novel,3
Odour2.1,13.1,Water1,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,Odour2.1,G,Water1,Water,1
Odour2.2,5,Water2,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,Odour2.2,G,Water2,Water,2
Odour2.3,8.7,Water3,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,Odour2.3,G,Water3,Water,3
Odour3.1,30.4,Familiar1,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,15.9,Familiar2,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,Odour3.2,G,Familiar2,Familiar,2
Odour3.3,8.6,Familiar3,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,Odour3.3,G,Familiar3,Familiar,3
Odour1.1,23.2,Novel1,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,Odour1.1,G,Novel1,Novel,1
Odour1.2,18.4,Novel2,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,Odour1.2,G,Novel2,Novel,2
Odour1.3,12.1,Novel3,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,Odour1.3,G,Novel3,Novel,3
Odour2.1,27.1,Water1,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,Odour2.1,G,Water1,Water,1
Odour2.2,9.5,Water2,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,Odour2.2,G,Water2,Water,2
Odour2.3,4.4,Water3,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,Odour2.3,G,Water3,Water,3
Odour3.1,31.1,Familiar1,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,18.5,Familiar2,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,Odour3.2,G,Familiar2,Familiar,2
