Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour1.1,13.6,Familiar1,1671698557029_000000_20222212FNWTDP4361a,Manual,H,Female,Odour1.1,H,Familiar1,Familiar,1
Odour1.2,8.4,Familiar2,1671698557029_000000_20222212FNWTDP4361a,Manual,H,Female,Odour1.2,H,Familiar2,Familiar,2
Odour1.3,3.8,Familiar3,1671698557029_000000_20222212FNWTDP4361a,Manual,H,Female,Odour1.3,H,Familiar3,Familiar,3
Odour2.1,27.9,Novel1,1671698557029_000000_20222212FNWTDP4361a,Manual,H,Female,Odour2.1,H,Novel1,Novel,1
Odour2.2,6.9,Novel2,1671698557029_000000_20222212FNWTDP4361a,Manual,H,Female,Odour2.2,H,Novel2,Novel,2
Odour2.3,0.5,Novel3,1671698557029_000000_20222212FNWTDP4361a,Manual,H,Female,Odour2.3,H,Novel3,Novel,3
Odour3.1,11.5,Water1,1671698557029_000000_20222212FNWTDP4361a,Manual,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,7.6,Water2,1671698557029_000000_20222212FNWTDP4361a,Manual,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,0.7,Water3,1671698557029_000000_20222212FNWTDP4361a,Manual,H,Female,Odour3.3,H,Water3,Water,3
Odour1.1,35.5,Familiar1,1671698589150_000000_20222212FNWTDP4391a,Manual,H,Female,Odour1.1,H,Familiar1,Familiar,1
Odour1.2,17.8,Familiar2,1671698589150_000000_20222212FNWTDP4391a,Manual,H,Female,Odour1.2,H,Familiar2,Familiar,2
Odour1.3,8.8,Familiar3,1671698589150_000000_20222212FNWTDP4391a,Manual,H,Female,Odour1.3,H,Familiar3,Familiar,3
Odour2.1,22.6,Novel1,1671698589150_000000_20222212FNWTDP4391a,Manual,H,Female,Odour2.1,H,Novel1,Novel,1
Odour2.2,11.6,Novel2,1671698589150_000000_20222212FNWTDP4391a,Manual,H,Female,Odour2.2,H,Novel2,Novel,2
Odour2.3,7.8,Novel3,1671698589150_000000_20222212FNWTDP4391a,Manual,H,Female,Odour2.3,H,Novel3,Novel,3
Odour3.1,10.4,Water1,1671698589150_000000_20222212FNWTDP4391a,Manual,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,4.5,Water2,1671698589150_000000_20222212FNWTDP4391a,Manual,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,6.2,Water3,1671698589150_000000_20222212FNWTDP4391a,Manual,H,Female,Odour3.3,H,Water3,Water,3
Odour3.1,17.1,Water1,1671700910553_000000_20222212NFWTDP4322d,Manual,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,2.1,Water2,1671700910553_000000_20222212NFWTDP4322d,Manual,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,5.3,Water3,1671700910553_000000_20222212NFWTDP4322d,Manual,H,Female,Odour3.3,H,Water3,Water,3
Odour1.1,42.8,Novel1,1671700969130_000000_20222212NFWTDP4361c,Manual,H,Female,Odour1.1,H,Novel1,Novel,1
Odour1.2,7.7,Novel2,1671700969130_000000_20222212NFWTDP4361c,Manual,H,Female,Odour1.2,H,Novel2,Novel,2
Odour1.3,3.3,Novel3,1671700969130_000000_20222212NFWTDP4361c,Manual,H,Female,Odour1.3,H,Novel3,Novel,3
Odour2.1,26.2,Familiar1,1671700969130_000000_20222212NFWTDP4361c,Manual,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,1.2,Familiar2,1671700969130_000000_20222212NFWTDP4361c,Manual,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,15.8,Familiar3,1671700969130_000000_20222212NFWTDP4361c,Manual,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,13.8,Water1,1671700969130_000000_20222212NFWTDP4361c,Manual,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,1.5,Water2,1671700969130_000000_20222212NFWTDP4361c,Manual,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,1.1,Water3,1671700969130_000000_20222212NFWTDP4361c,Manual,H,Female,Odour3.3,H,Water3,Water,3
Odour1.1,25.5,Novel1,1671701062352_000000_20222212NFWTDP4391g,Manual,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,4.4,Novel2,1671701062352_000000_20222212NFWTDP4391g,Manual,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,2.4,Novel3,1671701062352_000000_20222212NFWTDP4391g,Manual,H,Male,Odour1.3,H,Novel3,Novel,3
Odour1.1,29.8,Water1,1671706619369_000000_20222212WFNTDP4311b,Manual,G,Female,Odour1.1,G,Water1,Water,1
Odour1.2,12,Water2,1671706619369_000000_20222212WFNTDP4311b,Manual,G,Female,Odour1.2,G,Water2,Water,2
Odour1.3,0,Water3,1671706619369_000000_20222212WFNTDP4311b,Manual,G,Female,Odour1.3,G,Water3,Water,3
Odour2.1,37.4,Familiar1,1671706619369_000000_20222212WFNTDP4311b,Manual,G,Female,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,10.3,Familiar2,1671706619369_000000_20222212WFNTDP4311b,Manual,G,Female,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,3.4,Familiar3,1671706619369_000000_20222212WFNTDP4311b,Manual,G,Female,Odour2.3,G,Familiar3,Familiar,3
Odour1.1,38.8,Water1,1671709425764_000000_20222212WFNTDP4311f,Manual,H,Male,Odour1.1,H,Water1,Water,1
Odour1.2,21.8,Water2,1671709425764_000000_20222212WFNTDP4311f,Manual,H,Male,Odour1.2,H,Water2,Water,2
Odour1.3,58.3,Water3,1671709425764_000000_20222212WFNTDP4311f,Manual,H,Male,Odour1.3,H,Water3,Water,3
Odour2.1,21.3,Familiar1,1671709425764_000000_20222212WFNTDP4311f,Manual,H,Male,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,19.8,Familiar2,1671709425764_000000_20222212WFNTDP4311f,Manual,H,Male,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,7.9,Familiar3,1671709425764_000000_20222212WFNTDP4311f,Manual,H,Male,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,40.7,Novel1,1671709425764_000000_20222212WFNTDP4311f,Manual,H,Male,Odour3.1,H,Novel1,Novel,1
Odour3.2,35.1,Novel2,1671709425764_000000_20222212WFNTDP4311f,Manual,H,Male,Odour3.2,H,Novel2,Novel,2
Odour3.3,46.8,Novel3,1671709425764_000000_20222212WFNTDP4311f,Manual,H,Male,Odour3.3,H,Novel3,Novel,3
Odour1.1,24.5,Novel1,1671709530848_000000_20222212NWFTDP4331c,Manual,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,8.6,Novel2,1671709530848_000000_20222212NWFTDP4331c,Manual,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,1.6,Novel3,1671709530848_000000_20222212NWFTDP4331c,Manual,H,Male,Odour1.3,H,Novel3,Novel,3
Odour1.1,32,Novel1,1677141755316_000000_20230223NWFTDP12b,Manual,G,Female,Odour1.1,G,Novel1,Novel,1
Odour1.2,16.4,Novel2,1677141755316_000000_20230223NWFTDP12b,Manual,G,Female,Odour1.2,G,Novel2,Novel,2
Odour1.3,11.2,Novel3,1677141755316_000000_20230223NWFTDP12b,Manual,G,Female,Odour1.3,G,Novel3,Novel,3
Odour2.1,13.5,Water1,1677141755316_000000_20230223NWFTDP12b,Manual,G,Female,Odour2.1,G,Water1,Water,1
Odour2.2,1.9,Water2,1677141755316_000000_20230223NWFTDP12b,Manual,G,Female,Odour2.2,G,Water2,Water,2
Odour2.3,0,Water3,1677141755316_000000_20230223NWFTDP12b,Manual,G,Female,Odour2.3,G,Water3,Water,3
Odour3.1,29.3,Familiar1,1677141755316_000000_20230223NWFTDP12b,Manual,G,Female,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,16.5,Familiar2,1677141755316_000000_20230223NWFTDP12b,Manual,G,Female,Odour3.2,G,Familiar2,Familiar,2
Odour3.3,14.1,Familiar3,1677141755316_000000_20230223NWFTDP12b,Manual,G,Female,Odour3.3,G,Familiar3,Familiar,3
Odour1.1,36.4,Novel1,1677142227995_000000_20230223NWFTDP23c,Manual,G,Female,Odour1.1,G,Novel1,Novel,1
Odour1.2,21.2,Novel2,1677142227995_000000_20230223NWFTDP23c,Manual,G,Female,Odour1.2,G,Novel2,Novel,2
Odour1.3,28.8,Novel3,1677142227995_000000_20230223NWFTDP23c,Manual,G,Female,Odour1.3,G,Novel3,Novel,3
Odour2.1,48,Water1,1677142227995_000000_20230223NWFTDP23c,Manual,G,Female,Odour2.1,G,Water1,Water,1
Odour2.2,12.1,Water2,1677142227995_000000_20230223NWFTDP23c,Manual,G,Female,Odour2.2,G,Water2,Water,2
Odour2.3,0.4,Water3,1677142227995_000000_20230223NWFTDP23c,Manual,G,Female,Odour2.3,G,Water3,Water,3
Odour3.1,20,Familiar1,1677142227995_000000_20230223NWFTDP23c,Manual,G,Female,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,15.1,Familiar2,1677142227995_000000_20230223NWFTDP23c,Manual,G,Female,Odour3.2,G,Familiar2,Familiar,2
