Odour_presentation,Duration_sniffing,Odour_type_presentation,mouse_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour3.1,39.96,Water1,1671620561756_000000_20221221FNWC9ORF14e,ML,2,Male,Odour3.1,2,Water1,Water,1
Odour3.2,43.64,Water2,1671620561756_000000_20221221FNWC9ORF14e,ML,2,Male,Odour3.2,2,Water2,Water,2
Odour3.3,16.04,Water3,1671620561756_000000_20221221FNWC9ORF14e,ML,2,Male,Odour3.3,2,Water3,Water,3
Odour1.1,37.96,Novel1,1671620630811_000000_20221221NFWC9ORF22g,ML,4,Male,Odour1.1,4,Novel1,Novel,1
Odour1.2,14.04,Novel2,1671620630811_000000_20221221NFWC9ORF22g,ML,4,Male,Odour1.2,4,Novel2,Novel,2
Odour1.3,28.56,Novel3,1671620630811_000000_20221221NFWC9ORF22g,ML,4,Male,Odour1.3,4,Novel3,Novel,3
Odour2.1,15.88,Familiar1,1671620630811_000000_20221221NFWC9ORF22g,ML,4,Male,Odour2.1,4,Familiar1,Familiar,1
Odour2.2,39.52,Familiar2,1671620630811_000000_20221221NFWC9ORF22g,ML,4,Male,Odour2.2,4,Familiar2,Familiar,2
Odour2.3,1.6,Familiar3,1671620630811_000000_20221221NFWC9ORF22g,ML,4,Male,Odour2.3,4,Familiar3,Familiar,3
Odour3.1,30.24,Water1,1671620630811_000000_20221221NFWC9ORF22g,ML,4,Male,Odour3.1,4,Water1,Water,1
Odour3.2,0.48,Water2,1671620630811_000000_20221221NFWC9ORF22g,ML,4,Male,Odour3.2,4,Water2,Water,2
Odour3.3,10.4,Water3,1671620630811_000000_20221221NFWC9ORF22g,ML,4,Male,Odour3.3,4,Water3,Water,3
Odour1.1,24.32,Novel1,1671620657662_000000_20221221NFWC9ORF22i,ML,4,Male,Odour1.1,4,Novel1,Novel,1
Odour1.2,8.4,Novel2,1671620657662_000000_20221221NFWC9ORF22i,ML,4,Male,Odour1.2,4,Novel2,Novel,2
Odour1.3,7.56,Novel3,1671620657662_000000_20221221NFWC9ORF22i,ML,4,Male,Odour1.3,4,Novel3,Novel,3
Odour2.1,46.56,Familiar1,1671620657662_000000_20221221NFWC9ORF22i,ML,4,Male,Odour2.1,4,Familiar1,Familiar,1
Odour2.2,8.92,Familiar2,1671620657662_000000_20221221NFWC9ORF22i,ML,4,Male,Odour2.2,4,Familiar2,Familiar,2
Odour2.3,6.64,Familiar3,1671620657662_000000_20221221NFWC9ORF22i,ML,4,Male,Odour2.3,4,Familiar3,Familiar,3
Odour1.1,16.44,Water1,1671623696944_000000_20221221WFNC9ORF32e,ML,2,Male,Odour1.1,2,Water1,Water,1
Odour1.2,1.4,Water2,1671623696944_000000_20221221WFNC9ORF32e,ML,2,Male,Odour1.2,2,Water2,Water,2
Odour1.3,1.52,Water3,1671623696944_000000_20221221WFNC9ORF32e,ML,2,Male,Odour1.3,2,Water3,Water,3
Odour3.1,48.52,Novel1,1671623696944_000000_20221221WFNC9ORF32e,ML,2,Male,Odour3.1,2,Novel1,Novel,1
Odour3.2,33.16,Novel2,1671623696944_000000_20221221WFNC9ORF32e,ML,2,Male,Odour3.2,2,Novel2,Novel,2
Odour3.3,6.88,Novel3,1671623696944_000000_20221221WFNC9ORF32e,ML,2,Male,Odour3.3,2,Novel3,Novel,3
Odour3.1,10.28,Novel1,1671623717486_000000_20221221WFNC9ORF32h,ML,2,Male,Odour3.1,2,Novel1,Novel,1
Odour3.2,56.6,Novel2,1671623717486_000000_20221221WFNC9ORF32h,ML,2,Male,Odour3.2,2,Novel2,Novel,2
Odour3.3,7.12,Novel3,1671623717486_000000_20221221WFNC9ORF32h,ML,2,Male,Odour3.3,2,Novel3,Novel,3
Odour2.1,14.84,Familiar1,1671623738374_000000_20221221WFNC9ORF41c,ML,2,Male,Odour2.1,2,Familiar1,Familiar,1
Odour2.2,11.56,Familiar2,1671623738374_000000_20221221WFNC9ORF41c,ML,2,Male,Odour2.2,2,Familiar2,Familiar,2
Odour2.3,0,Familiar3,1671623738374_000000_20221221WFNC9ORF41c,ML,2,Male,Odour2.3,2,Familiar3,Familiar,3
Odour1.1,50.16,Familiar1,1671623779451_000000_20221221FNWC9ORF32d,ML,4,Male,Odour1.1,4,Familiar1,Familiar,1
Odour1.2,61.2,Familiar2,1671623779451_000000_20221221FNWC9ORF32d,ML,4,Male,Odour1.2,4,Familiar2,Familiar,2
Odour1.3,39.92,Familiar3,1671623779451_000000_20221221FNWC9ORF32d,ML,4,Male,Odour1.3,4,Familiar3,Familiar,3
Odour2.1,54.68,Novel1,1671623779451_000000_20221221FNWC9ORF32d,ML,4,Male,Odour2.1,4,Novel1,Novel,1
Odour2.2,65,Novel2,1671623779451_000000_20221221FNWC9ORF32d,ML,4,Male,Odour2.2,4,Novel2,Novel,2
Odour2.3,81.4,Novel3,1671623779451_000000_20221221FNWC9ORF32d,ML,4,Male,Odour2.3,4,Novel3,Novel,3
Odour3.1,42.72,Water1,1671623779451_000000_20221221FNWC9ORF32d,ML,4,Male,Odour3.1,4,Water1,Water,1
Odour3.2,67.68,Water2,1671623779451_000000_20221221FNWC9ORF32d,ML,4,Male,Odour3.2,4,Water2,Water,2
Odour3.3,24.76,Water3,1671623779451_000000_20221221FNWC9ORF32d,ML,4,Male,Odour3.3,4,Water3,Water,3
Odour1.1,38.84,Water1,1671623805350_000000_20221221WFNC9ORF51c,ML,4,Male,Odour1.1,4,Water1,Water,1
Odour1.2,50.96,Water2,1671623805350_000000_20221221WFNC9ORF51c,ML,4,Male,Odour1.2,4,Water2,Water,2
Odour1.3,56.48,Water3,1671623805350_000000_20221221WFNC9ORF51c,ML,4,Male,Odour1.3,4,Water3,Water,3
Odour2.1,51.64,Familiar1,1671623805350_000000_20221221WFNC9ORF51c,ML,4,Male,Odour2.1,4,Familiar1,Familiar,1
Odour2.2,37.16,Familiar2,1671623805350_000000_20221221WFNC9ORF51c,ML,4,Male,Odour2.2,4,Familiar2,Familiar,2
Odour2.3,16.28,Familiar3,1671623805350_000000_20221221WFNC9ORF51c,ML,4,Male,Odour2.3,4,Familiar3,Familiar,3
Odour3.1,48.04,Novel1,1671623805350_000000_20221221WFNC9ORF51c,ML,4,Male,Odour3.1,4,Novel1,Novel,1
Odour3.2,71.2,Novel2,1671623805350_000000_20221221WFNC9ORF51c,ML,4,Male,Odour3.2,4,Novel2,Novel,2
Odour3.3,36.56,Novel3,1671623805350_000000_20221221WFNC9ORF51c,ML,4,Male,Odour3.3,4,Novel3,Novel,3
Odour2.1,23.32,Familiar1,1671623827407_000000_20221221WFNC9ORF51d,ML,4,Male,Odour2.1,4,Familiar1,Familiar,1
Odour2.2,10.28,Familiar2,1671623827407_000000_20221221WFNC9ORF51d,ML,4,Male,Odour2.2,4,Familiar2,Familiar,2
Odour2.3,15.08,Familiar3,1671623827407_000000_20221221WFNC9ORF51d,ML,4,Male,Odour2.3,4,Familiar3,Familiar,3
Odour3.1,24.04,Novel1,1671623827407_000000_20221221WFNC9ORF51d,ML,4,Male,Odour3.1,4,Novel1,Novel,1
Odour3.2,0,Novel2,1671623827407_000000_20221221WFNC9ORF51d,ML,4,Male,Odour3.2,4,Novel2,Novel,2
Odour3.3,24.12,Novel3,1671623827407_000000_20221221WFNC9ORF51d,ML,4,Male,Odour3.3,4,Novel3,Novel,3
Odour1.1,14.72,Novel1,1675941075620_000000_20230209NFWC9O71d,ML,2,Female,Odour1.1,2,Novel1,Novel,1
Odour1.2,3.24,Novel2,1675941075620_000000_20230209NFWC9O71d,ML,2,Female,Odour1.2,2,Novel2,Novel,2
Odour1.3,0,Novel3,1675941075620_000000_20230209NFWC9O71d,ML,2,Female,Odour1.3,2,Novel3,Novel,3
Odour2.1,11.44,Familiar1,1675941075620_000000_20230209NFWC9O71d,ML,2,Female,Odour2.1,2,Familiar1,Familiar,1
Odour2.2,15.4,Familiar2,1675941075620_000000_20230209NFWC9O71d,ML,2,Female,Odour2.2,2,Familiar2,Familiar,2
Odour2.3,11.8,Familiar3,1675941075620_000000_20230209NFWC9O71d,ML,2,Female,Odour2.3,2,Familiar3,Familiar,3
Odour1.1,10.8,Familiar1,1675941125084_000000_20230209FNWC9O61a,ML,4,Female,Odour1.1,4,Familiar1,Familiar,1
Odour1.2,1.56,Familiar2,1675941125084_000000_20230209FNWC9O61a,ML,4,Female,Odour1.2,4,Familiar2,Familiar,2
Odour1.3,5.44,Familiar3,1675941125084_000000_20230209FNWC9O61a,ML,4,Female,Odour1.3,4,Familiar3,Familiar,3
Odour2.1,17.08,Novel1,1675941125084_000000_20230209FNWC9O61a,ML,4,Female,Odour2.1,4,Novel1,Novel,1
Odour2.2,3.08,Novel2,1675941125084_000000_20230209FNWC9O61a,ML,4,Female,Odour2.2,4,Novel2,Novel,2
Odour2.3,10.32,Novel3,1675941125084_000000_20230209FNWC9O61a,ML,4,Female,Odour2.3,4,Novel3,Novel,3
Odour1.1,28.96,Familiar1,1675943892048_000000_20230209FNWC9O62c,ML,4,Male,Odour1.1,4,Familiar1,Familiar,1
Odour1.2,26.04,Familiar2,1675943892048_000000_20230209FNWC9O62c,ML,4,Male,Odour1.2,4,Familiar2,Familiar,2
Odour1.3,9.56,Familiar3,1675943892048_000000_20230209FNWC9O62c,ML,4,Male,Odour1.3,4,Familiar3,Familiar,3
Odour2.1,36.84,Novel1,1675943892048_000000_20230209FNWC9O62c,ML,4,Male,Odour2.1,4,Novel1,Novel,1
Odour2.2,0.6,Novel2,1675943892048_000000_20230209FNWC9O62c,ML,4,Male,Odour2.2,4,Novel2,Novel,2
Odour2.3,14,Novel3,1675943892048_000000_20230209FNWC9O62c,ML,4,Male,Odour2.3,4,Novel3,Novel,3
Odour3.1,24.08,Water1,1675943892048_000000_20230209FNWC9O62c,ML,4,Male,Odour3.1,4,Water1,Water,1
Odour3.2,6.68,Water2,1675943892048_000000_20230209FNWC9O62c,ML,4,Male,Odour3.2,4,Water2,Water,2
Odour3.3,1.72,Water3,1675943892048_000000_20230209FNWC9O62c,ML,4,Male,Odour3.3,4,Water3,Water,3
