Odour_presentation,Duration_sniffing,Odour_type_presentation,mouse_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour1.2,30.2,Familiar2,1671614575601_000000_20221221FNWC9ORF31e,Manual,4,Female,Odour1.2,4,Familiar2,Familiar,2
Odour1.3,15.8,Familiar3,1671614575601_000000_20221221FNWC9ORF31e,Manual,4,Female,Odour1.3,4,Familiar3,Familiar,3
Odour2.1,15.7,Novel1,1671614575601_000000_20221221FNWC9ORF31e,Manual,4,Female,Odour2.1,4,Novel1,Novel,1
Odour2.2,0,Novel2,1671614575601_000000_20221221FNWC9ORF31e,Manual,4,Female,Odour2.2,4,Novel2,Novel,2
Odour2.3,26.4,Novel3,1671614575601_000000_20221221FNWC9ORF31e,Manual,4,Female,Odour2.3,4,Novel3,Novel,3
Odour3.1,25,Water1,1671614575601_000000_20221221FNWC9ORF31e,Manual,4,Female,Odour3.1,4,Water1,Water,1
Odour3.2,9.2,Water2,1671614575601_000000_20221221FNWC9ORF31e,Manual,4,Female,Odour3.2,4,Water2,Water,2
Odour3.3,6.5,Water3,1671614575601_000000_20221221FNWC9ORF31e,Manual,4,Female,Odour3.3,4,Water3,Water,3
Odour1.1,35.4,Familiar1,1671620561756_000000_20221221FNWC9ORF14e,Manual,2,Male,Odour1.1,2,Familiar1,Familiar,1
Odour1.2,27.6,Familiar2,1671620561756_000000_20221221FNWC9ORF14e,Manual,2,Male,Odour1.2,2,Familiar2,Familiar,2
Odour1.3,5.6,Familiar3,1671620561756_000000_20221221FNWC9ORF14e,Manual,2,Male,Odour1.3,2,Familiar3,Familiar,3
Odour2.1,90.9,Novel1,1671620561756_000000_20221221FNWC9ORF14e,Manual,2,Male,Odour2.1,2,Novel1,Novel,1
Odour2.2,39.2,Novel2,1671620561756_000000_20221221FNWC9ORF14e,Manual,2,Male,Odour2.2,2,Novel2,Novel,2
Odour2.3,11.1,Novel3,1671620561756_000000_20221221FNWC9ORF14e,Manual,2,Male,Odour2.3,2,Novel3,Novel,3
Odour3.1,32.2,Water1,1671620561756_000000_20221221FNWC9ORF14e,Manual,2,Male,Odour3.1,2,Water1,Water,1
Odour3.2,39,Water2,1671620561756_000000_20221221FNWC9ORF14e,Manual,2,Male,Odour3.2,2,Water2,Water,2
Odour3.3,13,Water3,1671620561756_000000_20221221FNWC9ORF14e,Manual,2,Male,Odour3.3,2,Water3,Water,3
Odour1.1,32.9,Novel1,1671620630811_000000_20221221NFWC9ORF22g,Manual,4,Male,Odour1.1,4,Novel1,Novel,1
Odour1.2,13.7,Novel2,1671620630811_000000_20221221NFWC9ORF22g,Manual,4,Male,Odour1.2,4,Novel2,Novel,2
Odour1.3,25,Novel3,1671620630811_000000_20221221NFWC9ORF22g,Manual,4,Male,Odour1.3,4,Novel3,Novel,3
Odour2.1,15.7,Familiar1,1671620630811_000000_20221221NFWC9ORF22g,Manual,4,Male,Odour2.1,4,Familiar1,Familiar,1
Odour2.2,35.1,Familiar2,1671620630811_000000_20221221NFWC9ORF22g,Manual,4,Male,Odour2.2,4,Familiar2,Familiar,2
Odour2.3,1.5,Familiar3,1671620630811_000000_20221221NFWC9ORF22g,Manual,4,Male,Odour2.3,4,Familiar3,Familiar,3
Odour3.1,26.4,Water1,1671620630811_000000_20221221NFWC9ORF22g,Manual,4,Male,Odour3.1,4,Water1,Water,1
Odour3.2,3.8,Water2,1671620630811_000000_20221221NFWC9ORF22g,Manual,4,Male,Odour3.2,4,Water2,Water,2
Odour3.3,10.9,Water3,1671620630811_000000_20221221NFWC9ORF22g,Manual,4,Male,Odour3.3,4,Water3,Water,3
Odour1.1,30.5,Novel1,1671620657662_000000_20221221NFWC9ORF22i,Manual,4,Male,Odour1.1,4,Novel1,Novel,1
Odour1.2,12.4,Novel2,1671620657662_000000_20221221NFWC9ORF22i,Manual,4,Male,Odour1.2,4,Novel2,Novel,2
Odour1.3,10.7,Novel3,1671620657662_000000_20221221NFWC9ORF22i,Manual,4,Male,Odour1.3,4,Novel3,Novel,3
Odour2.1,42.4,Familiar1,1671620657662_000000_20221221NFWC9ORF22i,Manual,4,Male,Odour2.1,4,Familiar1,Familiar,1
Odour2.2,10.1,Familiar2,1671620657662_000000_20221221NFWC9ORF22i,Manual,4,Male,Odour2.2,4,Familiar2,Familiar,2
Odour2.3,6.8,Familiar3,1671620657662_000000_20221221NFWC9ORF22i,Manual,4,Male,Odour2.3,4,Familiar3,Familiar,3
