Behavior_x,Total Duration(s)_x,Type_x,filename
Odour2.1,10.2,,1639663160017_000000_20211216NFWTDP4311h
Odour3.1,12.3,,1639663160017_000000_20211216NFWTDP4311h
Odour1.2,28.7,,1639663160017_000000_20211216NFWTDP4311h
Odour2.2,11.4,,1639663160017_000000_20211216NFWTDP4311h
Odour3.2,0,,1639663160017_000000_20211216NFWTDP4311h
Odour1.3,27,,1639663160017_000000_20211216NFWTDP4311h
Odour2.3,0,,1639663160017_000000_20211216NFWTDP4311h
Odour3.3,0,,1639663160017_000000_20211216NFWTDP4311h
Odour1.1,21.7,,1639663198143_000000_20211216NFWTDP4381d
Odour2.1,10,,1639663198143_000000_20211216NFWTDP4381d
Odour3.1,12.9,,1639663198143_000000_20211216NFWTDP4381d
Odour1.2,10.3,,1639663198143_000000_20211216NFWTDP4381d
Odour2.2,0.2,,1639663198143_000000_20211216NFWTDP4381d
Odour3.2,15,,1639663198143_000000_20211216NFWTDP4381d
Odour1.3,17.8,,1639663198143_000000_20211216NFWTDP4381d
Odour2.3,0,,1639663198143_000000_20211216NFWTDP4381d
Odour3.3,0,,1639663198143_000000_20211216NFWTDP4381d
Odour1.1,17.8,,1639663244146_000000_20211216NFWTDP4391g
Odour2.1,9.4,,1639663244146_000000_20211216NFWTDP4391g
Odour3.1,11.4,,1639663244146_000000_20211216NFWTDP4391g
Odour1.2,5.1,,1639663244146_000000_20211216NFWTDP4391g
Odour2.2,9.6,,1639663244146_000000_20211216NFWTDP4391g
Odour3.2,0,,1639663244146_000000_20211216NFWTDP4391g
Odour1.3,0,,1639663244146_000000_20211216NFWTDP4391g
Odour2.3,29.9,,1639663244146_000000_20211216NFWTDP4391g
Odour3.3,0,,1639663244146_000000_20211216NFWTDP4391g
Odour1.1,23.6,,1640080226289_000000_20211221WFNC9ORF22d
Odour2.1,35.3,,1640080226289_000000_20211221WFNC9ORF22d
Odour3.1,18.2,,1640080226289_000000_20211221WFNC9ORF22d
Odour1.2,3.3,,1640080226289_000000_20211221WFNC9ORF22d
Odour2.2,9.1,,1640080226289_000000_20211221WFNC9ORF22d
Odour3.2,12.1,,1640080226289_000000_20211221WFNC9ORF22d
Odour1.3,4.1,,1640080226289_000000_20211221WFNC9ORF22d
Odour2.3,4,,1640080226289_000000_20211221WFNC9ORF22d
Odour3.3,10.2,,1640080226289_000000_20211221WFNC9ORF22d
Odour1.1,19.6,,1640080258516_000000_20211221WFNC9ORF13c
Odour2.1,31.6,,1640080258516_000000_20211221WFNC9ORF13c
Odour3.1,25,,1640080258516_000000_20211221WFNC9ORF13c
Odour1.2,4.6,,1640080258516_000000_20211221WFNC9ORF13c
Odour2.2,22.1,,1640080258516_000000_20211221WFNC9ORF13c
Odour3.2,12.5,,1640080258516_000000_20211221WFNC9ORF13c
Odour1.3,8.4,,1640080258516_000000_20211221WFNC9ORF13c
Odour2.3,19.4,,1640080258516_000000_20211221WFNC9ORF13c
Odour3.3,17.2,,1640080258516_000000_20211221WFNC9ORF13c
Odour1.1,8.7,,1640080293769_000000_20211221WFNC9ORF31f
Odour2.1,21.3,,1640080293769_000000_20211221WFNC9ORF31f
Odour3.1,11.5,,1640080293769_000000_20211221WFNC9ORF31f
Odour1.2,0,,1640080293769_000000_20211221WFNC9ORF31f
Odour2.2,25.4,,1640080293769_000000_20211221WFNC9ORF31f
Odour3.2,14.3,,1640080293769_000000_20211221WFNC9ORF31f
Odour1.3,2.9,,1640080293769_000000_20211221WFNC9ORF31f
Odour2.3,6.1,,1640080293769_000000_20211221WFNC9ORF31f
Odour3.3,15.4,,1640080293769_000000_20211221WFNC9ORF31f
Odour1.1,14,,1640082510404_000000_20211221FNWC9ORF41a
Odour2.1,24.9,,1640082510404_000000_20211221FNWC9ORF41a
Odour3.1,8.2,,1640082510404_000000_20211221FNWC9ORF41a
Odour1.2,11.9,,1640082510404_000000_20211221FNWC9ORF41a
Odour2.2,17.4,,1640082510404_000000_20211221FNWC9ORF41a
Odour3.2,3.2,,1640082510404_000000_20211221FNWC9ORF41a
Odour1.3,1.9,,1640082510404_000000_20211221FNWC9ORF41a
Odour2.3,17.4,,1640082510404_000000_20211221FNWC9ORF41a
Odour3.3,1.3,,1640082510404_000000_20211221FNWC9ORF41a
Odour1.1,23.5,,1640087167661_000000_20211221NFWC9ORF22g
Odour2.1,43.4,,1640087167661_000000_20211221NFWC9ORF22g
Odour3.1,9.3,,1640087167661_000000_20211221NFWC9ORF22g
Odour1.2,11.6,,1640087167661_000000_20211221NFWC9ORF22g
Odour2.2,12.7,,1640087167661_000000_20211221NFWC9ORF22g
Odour3.2,9.1,,1640087167661_000000_20211221NFWC9ORF22g
Odour1.3,5.7,,1640087167661_000000_20211221NFWC9ORF22g
Odour2.3,7.3,,1640087167661_000000_20211221NFWC9ORF22g
Odour3.3,4.6,,1640087167661_000000_20211221NFWC9ORF22g
Odour1.1,20.5,,1640087194969_000000_20211221NFWC9ORF22i
Odour2.1,16.1,,1640087194969_000000_20211221NFWC9ORF22i
Odour3.1,26.5,,1640087194969_000000_20211221NFWC9ORF22i
Odour1.2,23.5,,1640087194969_000000_20211221NFWC9ORF22i
Odour2.2,4.5,,1640087194969_000000_20211221NFWC9ORF22i
Odour3.2,13.4,,1640087194969_000000_20211221NFWC9ORF22i
Odour1.3,13.1,,1640087194969_000000_20211221NFWC9ORF22i
Odour2.3,1.8,,1640087194969_000000_20211221NFWC9ORF22i
Odour3.3,6.3,,1640087194969_000000_20211221NFWC9ORF22i
Odour1.1,19.2,,1640089388806_000000_20211221FNWC9ORF32e
Odour2.1,21.1,,1640089388806_000000_20211221FNWC9ORF32e
Odour3.1,12.3,,1640089388806_000000_20211221FNWC9ORF32e
Odour1.2,17.3,,1640089388806_000000_20211221FNWC9ORF32e
Odour2.2,7,,1640089388806_000000_20211221FNWC9ORF32e
Odour3.2,0,,1640089388806_000000_20211221FNWC9ORF32e
Odour1.3,2.6,,1640089388806_000000_20211221FNWC9ORF32e
Odour2.3,1.9,,1640089388806_000000_20211221FNWC9ORF32e
Odour3.3,0,,1640089388806_000000_20211221FNWC9ORF32e
Odour1.1,19.3,,1640168578369_000000_20211222NWFC9ORF31C
Odour2.1,0,,1640168578369_000000_20211222NWFC9ORF31C
Odour3.1,5.1,,1640168578369_000000_20211222NWFC9ORF31C
Odour1.2,3.7,,1640168578369_000000_20211222NWFC9ORF31C
Odour2.2,14.9,,1640168578369_000000_20211222NWFC9ORF31C
Odour3.2,3.5,,1640168578369_000000_20211222NWFC9ORF31C
Odour1.3,0,,1640168578369_000000_20211222NWFC9ORF31C
Odour2.3,0,,1640168578369_000000_20211222NWFC9ORF31C
Odour3.3,0,,1640168578369_000000_20211222NWFC9ORF31C
Odour1.1,24.4,,1640170700852_000000_20211222NWFC9ORF31D
Odour2.1,15.4,,1640170700852_000000_20211222NWFC9ORF31D
Odour3.1,27.5,,1640170700852_000000_20211222NWFC9ORF31D
Odour1.2,19.1,,1640170700852_000000_20211222NWFC9ORF31D
Odour2.2,6.2,,1640170700852_000000_20211222NWFC9ORF31D
Odour3.2,4.2,,1640170700852_000000_20211222NWFC9ORF31D
Odour1.3,24.1,,1640170700852_000000_20211222NWFC9ORF31D
Odour2.3,1.1,,1640170700852_000000_20211222NWFC9ORF31D
Odour3.3,4.1,,1640170700852_000000_20211222NWFC9ORF31D
Odour1.1,28.5,,1640170756532_000000_20211222NWFC9ORF42A
Odour2.1,14.3,,1640170756532_000000_20211222NWFC9ORF42A
Odour3.1,14.2,,1640170756532_000000_20211222NWFC9ORF42A
Odour1.2,11.5,,1640170756532_000000_20211222NWFC9ORF42A
Odour2.2,1.4,,1640170756532_000000_20211222NWFC9ORF42A
Odour3.2,0,,1640170756532_000000_20211222NWFC9ORF42A
Odour1.3,3.6,,1640170756532_000000_20211222NWFC9ORF42A
Odour2.3,0,,1640170756532_000000_20211222NWFC9ORF42A
Odour3.3,0,,1640170756532_000000_20211222NWFC9ORF42A
Odour1.1,43.6,,1640176217569_000000_20211222NFWC9ORF14E
Odour2.1,0,,1640176217569_000000_20211222NFWC9ORF14E
Odour3.1,12.2,,1640176217569_000000_20211222NFWC9ORF14E
Odour1.2,38.7,,1640176217569_000000_20211222NFWC9ORF14E
Odour2.2,0,,1640176217569_000000_20211222NFWC9ORF14E
Odour3.2,13.1,,1640176217569_000000_20211222NFWC9ORF14E
Odour1.3,0,,1640176217569_000000_20211222NFWC9ORF14E
Odour2.3,0,,1640176217569_000000_20211222NFWC9ORF14E
Odour3.3,13.9,,1640176217569_000000_20211222NFWC9ORF14E
Odour1.1,20.8,,1640178362672_000000_20211222WFNC9ORF32D
Odour2.1,21.4,,1640178362672_000000_20211222WFNC9ORF32D
Odour3.1,25.8,,1640178362672_000000_20211222WFNC9ORF32D
Odour1.2,22.1,,1640178362672_000000_20211222WFNC9ORF32D
Odour2.2,11.1,,1640178362672_000000_20211222WFNC9ORF32D
Odour3.2,9.5,,1640178362672_000000_20211222WFNC9ORF32D
Odour1.3,11.6,,1640178362672_000000_20211222WFNC9ORF32D
Odour2.3,8.1,,1640178362672_000000_20211222WFNC9ORF32D
Odour3.3,0,,1640178362672_000000_20211222WFNC9ORF32D
Odour1.1,20.2,,1640178404117_000000_20211222WFNC9ORF51C
Odour2.1,26.4,,1640178404117_000000_20211222WFNC9ORF51C
Odour3.1,30.9,,1640178404117_000000_20211222WFNC9ORF51C
Odour1.2,14.9,,1640178404117_000000_20211222WFNC9ORF51C
Odour2.2,19.2,,1640178404117_000000_20211222WFNC9ORF51C
Odour3.2,10.5,,1640178404117_000000_20211222WFNC9ORF51C
Odour1.3,3.1,,1640178404117_000000_20211222WFNC9ORF51C
Odour2.3,19.2,,1640178404117_000000_20211222WFNC9ORF51C
Odour3.3,0,,1640178404117_000000_20211222WFNC9ORF51C
Odour1.1,53.2,,1643710387214_000000_20220201NWFC9ORF61c
Odour2.1,38.5,,1643710387214_000000_20220201NWFC9ORF61c
Odour3.1,11.6,,1643710387214_000000_20220201NWFC9ORF61c
Odour1.2,26.1,,1643710387214_000000_20220201NWFC9ORF61c
Odour2.2,12.3,,1643710387214_000000_20220201NWFC9ORF61c
Odour3.2,10,,1643710387214_000000_20220201NWFC9ORF61c
Odour1.3,36,,1643710387214_000000_20220201NWFC9ORF61c
Odour2.3,12.8,,1643710387214_000000_20220201NWFC9ORF61c
Odour3.3,10.9,,1643710387214_000000_20220201NWFC9ORF61c
Odour1.1,27.7,,1643710413634_000000_20220201NWFC9ORF62f
Odour2.1,45.5,,1643710413634_000000_20220201NWFC9ORF62f
Odour3.1,23.5,,1643710413634_000000_20220201NWFC9ORF62f
Odour1.2,14.3,,1643710413634_000000_20220201NWFC9ORF62f
Odour2.2,19.9,,1643710413634_000000_20220201NWFC9ORF62f
Odour3.2,27.4,,1643710413634_000000_20220201NWFC9ORF62f
Odour1.3,4.2,,1643710413634_000000_20220201NWFC9ORF62f
Odour2.3,40.9,,1643710413634_000000_20220201NWFC9ORF62f
Odour3.3,15.9,,1643710413634_000000_20220201NWFC9ORF62f
Odour1.1,0,,1643710473231_000000_20220201FNWC9ORF41b
Odour2.1,18.8,,1643710473231_000000_20220201FNWC9ORF41b
Odour3.1,4.7,,1643710473231_000000_20220201FNWC9ORF41b
Odour1.2,0,,1643710473231_000000_20220201FNWC9ORF41b
Odour2.2,4.4,,1643710473231_000000_20220201FNWC9ORF41b
Odour3.2,0,,1643710473231_000000_20220201FNWC9ORF41b
Odour1.3,17.5,,1643710473231_000000_20220201FNWC9ORF41b
Odour2.3,1.1,,1643710473231_000000_20220201FNWC9ORF41b
Odour3.3,0,,1643710473231_000000_20220201FNWC9ORF41b
Odour1.1,29.4,,1643715065534_000000_20220201FNWC9ORF62c
Odour2.1,5.8,,1643715065534_000000_20220201FNWC9ORF62c
Odour3.1,9,,1643715065534_000000_20220201FNWC9ORF62c
Odour1.2,4.2,,1643715065534_000000_20220201FNWC9ORF62c
Odour2.2,13,,1643715065534_000000_20220201FNWC9ORF62c
Odour3.2,0,,1643715065534_000000_20220201FNWC9ORF62c
Odour1.3,4.7,,1643715065534_000000_20220201FNWC9ORF62c
Odour2.3,0,,1643715065534_000000_20220201FNWC9ORF62c
Odour3.3,0,,1643715065534_000000_20220201FNWC9ORF62c
Odour1.1,28.8,,1643715125135_000000_20220201FNWC9ORF81b
Odour2.1,18.8,,1643715125135_000000_20220201FNWC9ORF81b
Odour3.1,16.7,,1643715125135_000000_20220201FNWC9ORF81b
Odour1.2,28.6,,1643715125135_000000_20220201FNWC9ORF81b
Odour2.2,26.6,,1643715125135_000000_20220201FNWC9ORF81b
Odour3.2,0,,1643715125135_000000_20220201FNWC9ORF81b
Odour1.3,10.2,,1643715125135_000000_20220201FNWC9ORF81b
Odour2.3,16,,1643715125135_000000_20220201FNWC9ORF81b
Odour3.3,0.8,,1643715125135_000000_20220201FNWC9ORF81b
Odour1.1,33.4,,1643715240372_000000_20220201NFWC9ORF72c
Odour2.1,3.7,,1643715240372_000000_20220201NFWC9ORF72c
Odour3.1,17.5,,1643715240372_000000_20220201NFWC9ORF72c
Odour1.2,8.6,,1643715240372_000000_20220201NFWC9ORF72c
Odour2.2,0,,1643715240372_000000_20220201NFWC9ORF72c
Odour3.2,0,,1643715240372_000000_20220201NFWC9ORF72c
Odour1.3,3.3,,1643715240372_000000_20220201NFWC9ORF72c
Odour2.3,0,,1643715240372_000000_20220201NFWC9ORF72c
Odour3.3,0,,1643715240372_000000_20220201NFWC9ORF72c
Odour1.1,26.3,,1643715268189_000000_20220201NFWC9ORF72e
Odour2.1,7.2,,1643715268189_000000_20220201NFWC9ORF72e
Odour3.1,19.1,,1643715268189_000000_20220201NFWC9ORF72e
Odour1.2,3.8,,1643715268189_000000_20220201NFWC9ORF72e
Odour2.2,5.2,,1643715268189_000000_20220201NFWC9ORF72e
Odour3.2,3.7,,1643715268189_000000_20220201NFWC9ORF72e
Odour1.3,7.2,,1643715268189_000000_20220201NFWC9ORF72e
Odour2.3,0.6,,1643715268189_000000_20220201NFWC9ORF72e
Odour3.3,0.5,,1643715268189_000000_20220201NFWC9ORF72e
Odour1.1,20.4,,1643715291621_000000_20220201NFWC9ORF72g
Odour2.1,14.2,,1643715291621_000000_20220201NFWC9ORF72g
Odour3.1,13.8,,1643715291621_000000_20220201NFWC9ORF72g
Odour1.2,35.1,,1643715291621_000000_20220201NFWC9ORF72g
Odour2.2,14.5,,1643715291621_000000_20220201NFWC9ORF72g
Odour3.2,2.8,,1643715291621_000000_20220201NFWC9ORF72g
Odour1.3,14.9,,1643715291621_000000_20220201NFWC9ORF72g
Odour2.3,10.1,,1643715291621_000000_20220201NFWC9ORF72g
Odour3.3,3.8,,1643715291621_000000_20220201NFWC9ORF72g
Odour1.1,6.7,,1643794722468_000000_20220202WFNC9ORF71d
Odour2.1,38.1,,1643794722468_000000_20220202WFNC9ORF71d
Odour3.1,0,,1643794722468_000000_20220202WFNC9ORF71d
Odour1.2,0,,1643794722468_000000_20220202WFNC9ORF71d
Odour2.2,0.2,,1643794722468_000000_20220202WFNC9ORF71d
Odour3.2,10.5,,1643794722468_000000_20220202WFNC9ORF71d
Odour1.3,0,,1643794722468_000000_20220202WFNC9ORF71d
Odour2.3,18,,1643794722468_000000_20220202WFNC9ORF71d
Odour3.3,15.5,,1643794722468_000000_20220202WFNC9ORF71d
Odour1.1,14.4,,1643794787463_000000_20220202WFNC9ORF42a
Odour2.1,22.5,,1643794787463_000000_20220202WFNC9ORF42a
Odour3.1,44,,1643794787463_000000_20220202WFNC9ORF42a
Odour1.2,3,,1643794787463_000000_20220202WFNC9ORF42a
Odour2.2,15.6,,1643794787463_000000_20220202WFNC9ORF42a
Odour3.2,20.2,,1643794787463_000000_20220202WFNC9ORF42a
Odour1.3,2.4,,1643794787463_000000_20220202WFNC9ORF42a
Odour2.3,9.8,,1643794787463_000000_20220202WFNC9ORF42a
Odour3.3,8.1,,1643794787463_000000_20220202WFNC9ORF42a
Odour1.1,12.9,,1643794843840_000000_20220202WFNC9ORF62c
Odour2.1,15.1,,1643794843840_000000_20220202WFNC9ORF62c
Odour3.1,25.4,,1643794843840_000000_20220202WFNC9ORF62c
Odour1.2,18.3,,1643794843840_000000_20220202WFNC9ORF62c
Odour2.2,13.9,,1643794843840_000000_20220202WFNC9ORF62c
Odour3.2,21.5,,1643794843840_000000_20220202WFNC9ORF62c
Odour1.3,1.9,,1643794843840_000000_20220202WFNC9ORF62c
Odour2.3,0.5,,1643794843840_000000_20220202WFNC9ORF62c
Odour3.3,11.5,,1643794843840_000000_20220202WFNC9ORF62c
Odour1.1,28.1,,1643797213673_000000_20220202NWFC9ORF61f
Odour2.1,8.7,,1643797213673_000000_20220202NWFC9ORF61f
Odour3.1,22.1,,1643797213673_000000_20220202NWFC9ORF61f
Odour1.2,7.3,,1643797213673_000000_20220202NWFC9ORF61f
Odour2.2,2,,1643797213673_000000_20220202NWFC9ORF61f
Odour3.2,2.5,,1643797213673_000000_20220202NWFC9ORF61f
Odour1.3,5.3,,1643797213673_000000_20220202NWFC9ORF61f
Odour2.3,0,,1643797213673_000000_20220202NWFC9ORF61f
Odour3.3,0,,1643797213673_000000_20220202NWFC9ORF61f
Odour1.1,29.4,,1643797340651_000000_20220202NWFC9ORF72h
Odour2.1,7.5,,1643797340651_000000_20220202NWFC9ORF72h
Odour3.1,31.6,,1643797340651_000000_20220202NWFC9ORF72h
Odour1.2,9.3,,1643797340651_000000_20220202NWFC9ORF72h
Odour2.2,2.1,,1643797340651_000000_20220202NWFC9ORF72h
Odour3.2,13.6,,1643797340651_000000_20220202NWFC9ORF72h
Odour1.3,2.3,,1643797340651_000000_20220202NWFC9ORF72h
Odour2.3,3.5,,1643797340651_000000_20220202NWFC9ORF72h
Odour3.3,13.5,,1643797340651_000000_20220202NWFC9ORF72h
Odour1.1,22.3,,1643797455410_000000_20220202NFWC9ORF61a
Odour2.1,14.8,,1643797455410_000000_20220202NFWC9ORF61a
Odour3.1,10.4,,1643797455410_000000_20220202NFWC9ORF61a
Odour1.2,8.1,,1643797455410_000000_20220202NFWC9ORF61a
Odour2.2,0,,1643797455410_000000_20220202NFWC9ORF61a
Odour3.2,4,,1643797455410_000000_20220202NFWC9ORF61a
Odour1.3,10.3,,1643797455410_000000_20220202NFWC9ORF61a
Odour2.3,7.4,,1643797455410_000000_20220202NFWC9ORF61a
Odour3.3,2,,1643797455410_000000_20220202NFWC9ORF61a
Odour1.1,33.2,,1643797482579_000000_20220202NFWC9ORF62a
Odour2.1,12.5,,1643797482579_000000_20220202NFWC9ORF62a
Odour3.1,12,,1643797482579_000000_20220202NFWC9ORF62a
Odour1.2,17.7,,1643797482579_000000_20220202NFWC9ORF62a
Odour2.2,9.2,,1643797482579_000000_20220202NFWC9ORF62a
Odour3.2,9.2,,1643797482579_000000_20220202NFWC9ORF62a
Odour1.3,14,,1643797482579_000000_20220202NFWC9ORF62a
Odour2.3,5.3,,1643797482579_000000_20220202NFWC9ORF62a
Odour3.3,8.3,,1643797482579_000000_20220202NFWC9ORF62a
Odour1.1,33.9,,1645002557994_000000_20220216NWFTDP4312b
Odour2.1,28.4,,1645002557994_000000_20220216NWFTDP4312b
Odour3.1,65.5,,1645002557994_000000_20220216NWFTDP4312b
Odour1.2,47.7,,1645002557994_000000_20220216NWFTDP4312b
Odour2.2,30.1,,1645002557994_000000_20220216NWFTDP4312b
Odour3.2,33.6,,1645002557994_000000_20220216NWFTDP4312b
Odour1.3,24.2,,1645002557994_000000_20220216NWFTDP4312b
Odour2.3,5,,1645002557994_000000_20220216NWFTDP4312b
Odour3.3,29.8,,1645002557994_000000_20220216NWFTDP4312b
Odour1.1,46.3,,1645002629680_000000_20220216NWFTDP4323c
Odour2.1,13.1,,1645002629680_000000_20220216NWFTDP4323c
Odour3.1,30.4,,1645002629680_000000_20220216NWFTDP4323c
Odour1.2,35.3,,1645002629680_000000_20220216NWFTDP4323c
Odour2.2,5,,1645002629680_000000_20220216NWFTDP4323c
Odour3.2,15.9,,1645002629680_000000_20220216NWFTDP4323c
Odour1.3,5.4,,1645002629680_000000_20220216NWFTDP4323c
Odour2.3,8.7,,1645002629680_000000_20220216NWFTDP4323c
Odour3.3,8.6,,1645002629680_000000_20220216NWFTDP4323c
Odour1.1,23.2,,1645002664740_000000_20220216NWFTDP4342e
Odour2.1,27.1,,1645002664740_000000_20220216NWFTDP4342e
Odour3.1,31.1,,1645002664740_000000_20220216NWFTDP4342e
Odour1.2,18.4,,1645002664740_000000_20220216NWFTDP4342e
Odour2.2,9.5,,1645002664740_000000_20220216NWFTDP4342e
Odour3.2,18.5,,1645002664740_000000_20220216NWFTDP4342e
Odour1.3,12.1,,1645002664740_000000_20220216NWFTDP4342e
Odour2.3,4.4,,1645002664740_000000_20220216NWFTDP4342e
Odour3.3,11.3,,1645002664740_000000_20220216NWFTDP4342e
Odour1.1,15.8,,1645002721824_000000_20220216NFWTDP4312e
Odour2.1,20.4,,1645002721824_000000_20220216NFWTDP4312e
Odour3.1,31.1,,1645002721824_000000_20220216NFWTDP4312e
Odour1.2,18.4,,1645002721824_000000_20220216NFWTDP4312e
Odour2.2,16.9,,1645002721824_000000_20220216NFWTDP4312e
Odour3.2,4,,1645002721824_000000_20220216NFWTDP4312e
Odour1.3,7.7,,1645002721824_000000_20220216NFWTDP4312e
Odour2.3,21.6,,1645002721824_000000_20220216NFWTDP4312e
Odour3.3,4.9,,1645002721824_000000_20220216NFWTDP4312e
Odour1.1,20.5,,1645002760785_000000_20220216NFWTDP4324c
Odour2.1,19.6,,1645002760785_000000_20220216NFWTDP4324c
Odour3.1,1.9,,1645002760785_000000_20220216NFWTDP4324c
Odour1.2,3.7,,1645002760785_000000_20220216NFWTDP4324c
Odour2.2,13.1,,1645002760785_000000_20220216NFWTDP4324c
Odour3.2,5.6,,1645002760785_000000_20220216NFWTDP4324c
Odour1.3,19,,1645002760785_000000_20220216NFWTDP4324c
Odour2.3,2.4,,1645002760785_000000_20220216NFWTDP4324c
Odour3.3,4.3,,1645002760785_000000_20220216NFWTDP4324c
Odour1.1,32.9,,1645002792388_000000_20220216NFWTDP4342b
Odour2.1,23.9,,1645002792388_000000_20220216NFWTDP4342b
