Behavior_x,Total Duration(s)_x,Type_x,filename,Behavior_y,Total Duration(s)_y,Type_y,Behavior,Total Duration(s),Type
Odour3.1,19.4,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639648004702_000000_20211216NFWTDP4311a_STATS.csv,Odour3.2,11.8,,Odour3.3,0.0,
Odour3.1,19.4,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639654701381_000000_20211216FNWTDP4321b_STATS.csv,Odour3.2,0.3,,Odour3.3,0.0,
Odour3.1,4.6,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639654878289_000000_20211216NFWTDP4322d_STATS.csv,Odour3.2,6.2,,Odour3.3,2.6,
Odour3.1,9.4,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639654911074_000000_20211216NFWTDP4332a_STATS.csv,Odour3.2,3.4,,Odour3.3,0.7,
Odour3.1,4.1,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639654945839_000000_20211216NFWTDP4361c_STATS.csv,Odour3.2,7.1,,Odour3.3,6.1,
Odour3.1,9.0,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639657412770_000000_20211216FNWTDP4311f_STATS.csv,Odour3.2,0.0,,Odour3.3,0.0,
Odour3.1,18.6,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639657513165_000000_20211216FNWTDP4361g_STATS.csv,Odour3.2,7.3,,Odour3.3,0.0,
Odour3.1,0.0,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639657662975_000000_20211216WFNTDP4311i_STATS.csv,Odour3.2,0.0,,Odour3.3,0.0,
Odour3.1,9.0,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639657707616_000000_20211216WFNTDP4391h_STATS.csv,Odour3.2,6.3,,Odour3.3,0.0,
Odour3.1,12.3,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639663160017_000000_20211216NFWTDP4311h_STATS.csv,Odour3.2,0.0,,Odour3.3,0.0,
Odour3.1,12.9,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639663198143_000000_20211216NFWTDP4381d_STATS.csv,Odour3.2,15.0,,Odour3.3,0.0,
Odour3.1,11.4,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1639663244146_000000_20211216NFWTDP4391g_STATS.csv,Odour3.2,0.0,,Odour3.3,0.0,
Odour3.1,18.2,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640080226289_000000_20211221WFNC9ORF22d_STATS.csv,Odour3.2,12.1,,Odour3.3,10.2,
Odour3.1,25.0,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640080258516_000000_20211221WFNC9ORF13c_STATS.csv,Odour3.2,12.5,,Odour3.3,17.2,
Odour3.1,11.5,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640080293769_000000_20211221WFNC9ORF31f_STATS.csv,Odour3.2,14.3,,Odour3.3,15.4,
Odour3.1,8.2,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640082510404_000000_20211221FNWC9ORF41a_STATS.csv,Odour3.2,3.2,,Odour3.3,1.3,
Odour3.1,9.3,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640087167661_000000_20211221NFWC9ORF22g_STATS.csv,Odour3.2,9.1,,Odour3.3,4.6,
Odour3.1,26.5,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640087194969_000000_20211221NFWC9ORF22i_STATS.csv,Odour3.2,13.4,,Odour3.3,6.3,
Odour3.1,12.3,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640089388806_000000_20211221FNWC9ORF32e_STATS.csv,Odour3.2,0.0,,Odour3.3,0.0,
Odour3.1,5.1,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640168578369_000000_20211222NWFC9ORF31C_STATS.csv,Odour3.2,3.5,,Odour3.3,0.0,
Odour3.1,27.5,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640170700852_000000_20211222NWFC9ORF31D_STATS.csv,Odour3.2,4.2,,Odour3.3,4.1,
Odour3.1,14.2,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640170756532_000000_20211222NWFC9ORF42A_STATS.csv,Odour3.2,0.0,,Odour3.3,0.0,
Odour3.1,12.2,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640176217569_000000_20211222NFWC9ORF14E_STATS.csv,Odour3.2,13.1,,Odour3.3,13.9,
Odour3.1,25.8,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640178362672_000000_20211222WFNC9ORF32D_STATS.csv,Odour3.2,9.5,,Odour3.3,0.0,
Odour3.1,30.9,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1640178404117_000000_20211222WFNC9ORF51C_STATS.csv,Odour3.2,10.5,,Odour3.3,0.0,
Odour3.1,11.6,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1643710387214_000000_20220201NWFC9ORF61c_STATS.csv,Odour3.2,10.0,,Odour3.3,10.9,
Odour3.1,23.5,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1643710413634_000000_20220201NWFC9ORF62f_STATS.csv,Odour3.2,27.4,,Odour3.3,15.9,
Odour3.1,4.7,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1643710473231_000000_20220201FNWC9ORF41b_STATS.csv,Odour3.2,0.0,,Odour3.3,0.0,
Odour3.1,9.0,,C:\Users\Sevda\Downloads\ml_paper\c9-tdo43-reassessment\combined\extra3\manual scores\all manual scores\1643715065534_000000_20220201FNWC9ORF62c_STATS.csv,Odour3.2,0.0,,Odour3.3,0.0,
