Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Odour1.1,28,46.3,281.5,,,,,
Odour1.2,20,35.3,492.2,,,,,
Odour1.3,4,5.4,710.9,,,,,
Eexample,0,0.0,0.0,,,,,
Fexample,0,0.0,0.0,,,,,
Gexample,0,0.0,0.0,,,,,
Hexample,0,0.0,0.0,,,,,Plays with 3.1 and 3.2 - any bites are not counted
Iexample,0,0.0,0.0,,,,,Looks a bit anxious
Odour2.1,11,13.1,886.0,,,,,
Odour2.2,6,5.0,1117.2,,,,,
Odour2.3,8,8.7,1354.8,,,,,
Mexample,0,0.0,0.0,,,,,
Nexample,0,0.0,0.0,,,,,
Oexample,0,0.0,0.0,,,,,
Pexample,0,0.0,0.0,,,,,
Qexample,0,0.0,0.0,,,,,
Odour3.1,19,30.4,1459.4,,,,,
Odour3.2,13,15.9,1649.6,,,,,
Odour3.3,6,8.6,1838.8,,,,,
Bexample,0,0.0,0.0,,,,,
Cexample,0,0.0,0.0,,,,,
Uexample,0,0.0,0.0,,,,,
Vexample,0,0.0,0.0,,,,,
Wexample,0,0.0,0.0,,,,,
Xexample,0,0.0,0.0,,,,,
Zexample,0,0.0,0.0,,,,,
Change,0,0.0,0.0,,,,,
Codes,0,0.0,0.0,,,,,
in,0,0.0,0.0,,,,,
Configfile,0,0.0,0.0,,,,,
