Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,14,20.5,94.8,
Odour1.2,18,23.5,322.8,
Odour1.3,11,13.1,539.8,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,8,16.1,743.2,
Odour2.2,2,4.5,960.3,
Odour2.3,2,1.8,1135.6,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,17,26.5,1323.8,
Odour3.2,4,13.4,1521.2,
Odour3.3,4,6.3,1708.2,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
