Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7
Odour1.1,7,6.7,106.0,,,,
Odour1.2,0,0.0,0.0,,,,Slight lag in the video
Odour1.3,0,0.0,0.0,,,,"Very little interest in 1.1, ignored 1.2, ignored 1.3"
Eexample,0,0.0,0.0,,,,Almost ignored 2.2
Fexample,0,0.0,0.0,,,,Ignored 3.1
Gexample,0,0.0,0.0,,,,
Hexample,0,0.0,0.0,,,,
Iexample,0,0.0,0.0,,,,
Odour2.1,21,38.1,701.2,,,,
Odour2.2,1,0.2,953.8,,,,
Odour2.3,11,18.0,1125.1,,,,
Mexample,0,0.0,0.0,,,,
Nexample,0,0.0,0.0,,,,
Oexample,0,0.0,0.0,,,,
Pexample,0,0.0,0.0,,,,
Qexample,0,0.0,0.0,,,,
Odour3.1,0,0.0,0.0,,,,
Odour3.2,7,10.5,1567.4,,,,
Odour3.3,12,15.5,1771.9,,,,
Bexample,0,0.0,0.0,,,,
Cexample,0,0.0,0.0,,,,
Uexample,0,0.0,0.0,,,,
Vexample,0,0.0,0.0,,,,
Wexample,0,0.0,0.0,,,,
Xexample,0,0.0,0.0,,,,
Zexample,0,0.0,0.0,,,,
Change,0,0.0,0.0,,,,
Codes,0,0.0,0.0,,,,
in,0,0.0,0.0,,,,
Configfile,0,0.0,0.0,,,,
