Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6
Odour1.1,20,39.2,158.4,,,
Odour1.2,11,12.7,364.0,,,
Odour1.3,1,0.5,545.2,,,
Eexample,0,0.0,0.0,,,
Fexample,0,0.0,0.0,,,Fat
Gexample,0,0.0,0.0,,,"3.3 - ignored, sniffs from far"
Hexample,0,0.0,0.0,,,
Iexample,0,0.0,0.0,,,
Odour2.1,13,23.5,792.2,,,
Odour2.2,12,17.4,924.1,,,
Odour2.3,12,8.7,1125.1,,,
Mexample,0,0.0,0.0,,,
Nexample,0,0.0,0.0,,,
Oexample,0,0.0,0.0,,,
Pexample,0,0.0,0.0,,,
Qexample,0,0.0,0.0,,,
Odour3.1,2,0.4,1372.2,,,
Odour3.2,2,1.2,1527.6,,,
Odour3.3,0,0.0,0.0,,,
Bexample,0,0.0,0.0,,,
Cexample,0,0.0,0.0,,,
Uexample,0,0.0,0.0,,,
Vexample,0,0.0,0.0,,,
Wexample,0,0.0,0.0,,,
Xexample,0,0.0,0.0,,,
Zexample,0,0.0,0.0,,,
Change,0,0.0,0.0,,,
Codes,0,0.0,0.0,,,
in,0,0.0,0.0,,,
Configfile,0,0.0,0.0,,,
